epoch,train_loss,validation_loss
1,0.031561315926465786,0.02881109742115423
2,0.02814961252719694,0.027419139633648785
3,0.027426638470808798,0.027032287813525405
4,0.026328484582755052,0.02751497684723177
5,0.02548297086404905,0.031488425266219186
6,0.024747967204790174,0.027642801032492795
7,0.023898032454482278,0.027266846623779543
8,0.023568192532672252,0.02716381547585716
9,0.023013728793989118,0.029042969393899217
10,0.022224219402917498,0.02830726459404251
11,0.0215871895011522,0.029044380266652233
12,0.020771017876122934,0.03221421893634931
13,0.02018099197113237,0.02838649895904485
14,0.019562974286877654,0.028100206255094785
15,0.018779012520484337,0.030605372934442862
16,0.01841948214852722,0.02878414676247773
17,0.017419836847181926,0.02961351598075302
18,0.01697558765580611,0.030470340060238868
19,0.01646906551338831,0.029365643944117528
20,0.01583830523246022,0.0299277592446972
21,0.015563480990169534,0.031031668196412694
22,0.01513770037806219,0.030773898472452207
23,0.01421457940051047,0.032639883574497125
