epoch,train_loss,validation_loss
1,0.03681051817464057,0.027420511956172667
2,0.029068302443486984,0.025723406660744526
3,0.02704378007095297,0.026209212352675714
4,0.027060775713859543,0.025327272824649735
5,0.026260205326134947,0.02631923172652252
6,0.02566911199825472,0.026817027831406104
7,0.024804474710614855,0.025595356078129114
8,0.02399112737042242,0.02562736877364906
9,0.023478034803407852,0.026212459110368895
10,0.022525814846358853,0.026694748512520565
11,0.022012076192507845,0.027107690421380396
12,0.02129052245030506,0.026777949987903355
13,0.02039528698622779,0.027926806087686322
14,0.01968889293885938,0.028848834303537692
15,0.019525177478087397,0.027962247555063467
16,0.0184455078767959,0.02800252584549855
17,0.018456696379538173,0.029090007781747758
18,0.01704511860249981,0.02895014243215088
19,0.016808831941266106,0.028735372732122115
20,0.015586803704901847,0.028761686988937572
21,0.015003625926062103,0.029818104624044238
22,0.0150930897465774,0.029755518696908876
23,0.014827364940206316,0.029416504575628933
24,0.013988378761471763,0.030305375633981283
