epoch,train_loss,validation_loss
1,0.027665555065760582,0.023432174120720715
2,0.025675807339942364,0.023685291575826557
3,0.025227778850868597,0.02335567318600237
4,0.02490887156196939,0.023763131465675425
5,0.024485060931186572,0.02376254852405507
6,0.024290414734019175,0.023400183639643964
7,0.023898448680807476,0.02351426743967466
8,0.023423371230897726,0.023360026241246796
9,0.023063210218169695,0.024194755111713564
10,0.022747226813636674,0.023647071837203826
11,0.021975295291864393,0.023996459763621587
12,0.021709342713797264,0.02370538013893148
13,0.021093986512002446,0.023891311341136482
14,0.020807481403243566,0.024212230912312664
15,0.020441781631693114,0.024236689590646714
16,0.019626401458760875,0.02454121287874344
17,0.019459296369591213,0.0247207545344151
18,0.018934756852610223,0.024958878163212735
19,0.01867629755377241,0.02561666613649177
20,0.018044865946015617,0.02586858024318349
21,0.017782422882170197,0.024951932159961516
22,0.017297497787338256,0.02614567931496976
23,0.01679253645226024,0.025797936328343735
