epoch,train_loss,validation_loss
1,0.030168990997515435,0.02998069454962686
2,0.02885042759387521,0.028762856776138455
3,0.028044333040210822,0.028656314567672148
4,0.028018542586205637,0.029427066155643715
5,0.027723470424875784,0.029566460690390376
6,0.027489933821616314,0.029182799627419907
7,0.027354856367743124,0.028203846189753242
8,0.02711124639707935,0.02829344609832393
9,0.027073549467507223,0.028807177645480644
10,0.026874911782675082,0.028157674365788563
11,0.0267615800038613,0.028174855581877545
12,0.026602755710579414,0.028716515190728955
13,0.02646977598180234,0.028372831847126728
14,0.026592069610071097,0.02868760953515032
15,0.02630508321357143,0.028336849690765168
16,0.026309473799328447,0.029094709678189206
17,0.026118629082491577,0.028357129247496133
18,0.026078610679408986,0.028489961531711957
19,0.025947189075309712,0.028665911897076235
20,0.025906293814588713,0.029050047077368076
21,0.026013521672875684,0.028358265372420928
22,0.025762227289532945,0.029251391887801126
23,0.025550898490810214,0.028788468494588697
24,0.025519474742098012,0.028654663906196663
25,0.02563959631010252,0.02869357844543697
26,0.025595241718730618,0.02865754602321876
27,0.02536273437569475,0.028724665526038227
28,0.025313253541925023,0.028545030950818277
29,0.02507550526350739,0.02927728029682019
30,0.025004992960720545,0.028575897117955686
