epoch,train_loss,validation_loss
1,0.03174747603337456,0.030624539598322183
2,0.029239170119384972,0.029068540628832667
3,0.027946462948558383,0.029308102969358218
4,0.02727620372246608,0.029528499247311657
5,0.02733528936265102,0.027925494919294743
6,0.02676294909087302,0.028724901016745994
7,0.026791964779807574,0.0274373219668198
8,0.026547529011624754,0.02867927068649833
9,0.026431318295371174,0.027263638299347748
10,0.026233252401432566,0.028434260095010943
11,0.026205791077882463,0.027353434413393485
12,0.02612659149600562,0.027608211694368674
13,0.026125614639878662,0.027053820247303195
14,0.025891571113962706,0.027292622461803813
15,0.025800029115831843,0.027374388260850264
16,0.025760764527243137,0.02726094524807005
17,0.02562585598208502,0.02672829078649407
18,0.02551240179453959,0.026842462037926288
19,0.025379610055269706,0.02682803683816942
20,0.025264403019965714,0.027132945218637808
21,0.025361353362369266,0.026801332122465566
22,0.02525760118303837,0.026579585065370174
23,0.025177771356123778,0.026868068654812984
24,0.024977049533924437,0.028169740047027814
25,0.025124485580024433,0.027155010217328125
26,0.02497520326335399,0.026442490448591423
27,0.024902291863719526,0.026968981486870283
28,0.02468645771162337,0.0269607954950475
29,0.02473928490023644,0.02648016344755888
30,0.024532861426205487,0.027252956029416908
31,0.024372697110001694,0.027340087386320776
32,0.024255950583149576,0.026730161313134344
33,0.024240137166066586,0.026958273028704658
34,0.02410289684299929,0.02730704057238885
35,0.024341753000103564,0.027337061255169447
36,0.02400212142564897,0.027554017158030575
37,0.024083311658143123,0.027345448885279806
38,0.02389856076570867,0.026536555217106395
39,0.023994031409750455,0.027211652623850908
40,0.02378973941384726,0.02731259336778477
41,0.023897290515190427,0.027259576231686036
42,0.023786360656306717,0.026945815310438177
43,0.0237499410136259,0.02698007164828813
44,0.023443917774981664,0.027501778621504557
45,0.02359915519468699,0.027750191904270825
46,0.023351499531797597,0.027094075553563992
