iteration,train_rmse,validation_rmse
0,0.16511275505387707,0.16237302300997955
1,0.16443723004531016,0.16186349975539466
2,0.16383302899558302,0.16149243331648458
3,0.16339039514337414,0.16126272951387044
4,0.1628214303036355,0.16086777817776815
5,0.162267691694843,0.16050071635477894
6,0.16178386562105887,0.16019473884783353
7,0.16132308938751355,0.1599087599656764
8,0.16088336274984114,0.15970182863170654
9,0.16040599858530094,0.15946324935184306
10,0.15999738227644042,0.15933600056915176
11,0.15963006129165333,0.15917569791203642
12,0.15930039540185129,0.1589008948163238
13,0.15895428555429716,0.15878261869531746
14,0.15866255654065387,0.15870848872466764
15,0.1583262096956827,0.15856931309853312
16,0.15801091533357975,0.15849701352472362
17,0.15769492194779353,0.1583577612940559
18,0.1574543999643931,0.15826012208796164
19,0.15718352205503916,0.1582071343474144
20,0.1568836123970558,0.15811437380679896
21,0.15659963697972346,0.1580495743191801
22,0.15634052944330876,0.15799042863518487
23,0.15613080764803,0.1579037593761611
24,0.1558790234076353,0.15781576342576176
25,0.15568093625495408,0.15775229458119283
26,0.15543628653195488,0.15767917522714392
27,0.15517017430345742,0.15770434948980414
28,0.15495738920822033,0.1577054491096146
29,0.15472918038006012,0.15763622603794822
30,0.15451841175352524,0.1575717437584412
31,0.15431436405182497,0.15753504520607317
32,0.15409459603160494,0.15754957936819763
33,0.15390342452850328,0.15758557918589283
34,0.1537085834413805,0.15759906545513386
35,0.15349251244141174,0.15758943170597145
36,0.15331361546867261,0.1575771320752741
37,0.15309788021797327,0.1576063537803078
38,0.1529407800678685,0.1575647092741768
39,0.15276455302511674,0.15757562743686118
40,0.152579554319435,0.1576078493107963
41,0.15239795797959532,0.1575267085350315
42,0.15222456334173592,0.15749752395256317
43,0.152055594480134,0.1574477500893392
44,0.15186053657659504,0.157361085710093
45,0.1516846859355663,0.15732898763536662
46,0.15154032867529452,0.15730882507926663
47,0.1513561011048653,0.15734146476483132
48,0.15119225810677706,0.1572794762770205
49,0.15103763260598654,0.15726736907392927
50,0.15088194740813618,0.1572586159185066
51,0.15071927811522068,0.1572664187701011
52,0.15057645684294133,0.1572454888517288
53,0.15042607286936496,0.15729532547448033
54,0.15026941393456264,0.1573367400893604
55,0.15008314846832913,0.15737826305674021
56,0.14993497400931224,0.15737607255359665
57,0.1498087423109469,0.15737029090594978
58,0.149661149484509,0.15740136863256526
59,0.14952264146260197,0.15743758802127125
60,0.14937422333243233,0.1574631156500366
61,0.14921345200338387,0.15739304265851892
62,0.14903325162856587,0.1573712621347324
63,0.14888224321014076,0.15738232654883574
64,0.14875350706193957,0.15740053708565602
65,0.14864016280399808,0.157419906792372
66,0.14850777969831236,0.1574086863936758
67,0.14840516601741682,0.15739839086956073
68,0.14827549246392702,0.1573937242988049
69,0.14813896782970168,0.15739201809338668
70,0.14800099960476354,0.157366411083373
71,0.14784299328689623,0.15735718025270684
72,0.14768177407792024,0.1573565976796143
73,0.14755340075375667,0.1573702246474378
74,0.14738636360637877,0.1573295716428841
75,0.14726790974709245,0.15731558300757995
76,0.14712751997833182,0.15732723812992677
77,0.14699971684655733,0.157346312565435
78,0.14686524162874595,0.15735414224066044
79,0.14673498107537652,0.15737877758329283
80,0.14662847701562165,0.15738830081717636
81,0.14648282110955405,0.1573865705835971
82,0.14631313606621266,0.1573845803105233
