iteration,train_rmse,validation_rmse
0,0.11774071992346918,0.11913450482447632
1,0.1174334637122355,0.11910549514522985
2,0.1171738720003589,0.1190656912227065
3,0.11694435200567074,0.11906248810331384
4,0.11666360828749188,0.11903294025369886
5,0.11640929962176,0.118991184953356
6,0.11616551912121181,0.11901291470561959
7,0.11590291714243338,0.11892020658236169
8,0.1156735141712474,0.11891914818951844
9,0.11538462940473863,0.11878582329081452
10,0.11525350203142744,0.11878367150637596
11,0.11500297266717242,0.11878891269335476
12,0.11473807874705971,0.11876300111467747
13,0.11451499436602183,0.11863694538153191
14,0.11428423642638563,0.11857316060214627
15,0.11399646642511933,0.11853110619043411
16,0.11372990635751254,0.11852140167544091
17,0.1134811825986218,0.11847521468418906
18,0.11327217669059857,0.11856318699951089
19,0.11310006124010724,0.11855759239116288
20,0.11288254024783535,0.11853730655607206
21,0.11273262850578807,0.11854298857455865
22,0.11253324916960651,0.1185440429098444
23,0.11227467080201933,0.1184928891799162
24,0.1120673962096149,0.11853223713837485
25,0.11181389411293065,0.11850198855650355
26,0.11163771784347189,0.11850269499298688
27,0.11151417904193849,0.11849759178729581
28,0.11133470777098894,0.11850343893041497
29,0.1110775232514493,0.11846727513288444
30,0.11086969662379358,0.11847515501735097
31,0.11078871745530453,0.11849075866696353
32,0.11053063356877912,0.11848826029280568
33,0.11033589983867274,0.11849298511179657
34,0.11011679667550667,0.11855429937616706
35,0.10988435988861758,0.11862106463114389
36,0.10971705793609857,0.11860594453713247
37,0.10948344423896504,0.11857622464919278
38,0.1092595287589363,0.11862200938904324
39,0.10907083261785655,0.11858953905616257
40,0.10885372977602148,0.1185998143143318
41,0.1087727245093478,0.11857614170199762
42,0.10857820741340948,0.1185559340800981
43,0.10836233512968728,0.11859053183444418
44,0.10830607940729041,0.1185922348852728
45,0.10821359017307566,0.11861398695177879
46,0.10812659432899577,0.11861437249729093
47,0.10800969696908723,0.11856864179592642
48,0.10790333397782012,0.11856789420812856
49,0.10779561991099312,0.11858347782416892
50,0.10760456154567728,0.1185787906289662
51,0.10744542513127071,0.11860916544227748
52,0.10725242242088466,0.11856709034545315
53,0.10711218230650156,0.11858041628398115
54,0.10689475564966229,0.11863573697946911
55,0.10667046839016461,0.118632978988682
56,0.1065151061018882,0.11856325705751723
57,0.10629779745110776,0.11860510231423681
58,0.106094053049538,0.11862213059612693
59,0.10592442452152823,0.11863475262502447
