split_type,cell_line,model,environment_added,background,background_set,delta_r2_mean,delta_mae_mean,delta_rmse_mean,n_paired
all,hek293t,cnn(3|3),dnase,sequence_rrbs,rrbs,-0.015605,0.001675,0.000816,1
all,hek293t,cnn(3|3),h3k4me3,sequence,,-0.036728,0.000734,0.001963,1
all,hek293t,cnn(3|3),h3k4me3,sequence_ctcf,ctcf,-0.059187,0.0027,0.003147,1
all,hek293t,cnn(3|3),h3k4me3,sequence_ctcf_dnase,"ctcf,dnase",0.03199,-0.001407,-0.001716,1
all,hek293t,cnn(3|3),h3k4me3,sequence_ctcf_dnase_rrbs,"ctcf,dnase,rrbs",0.069072,-0.003689,-0.003697,1
all,hek293t,cnn(3|3),h3k4me3,sequence_ctcf_rrbs,"ctcf,rrbs",0.025684,-0.000898,-0.001373,1
all,hek293t,cnn(3|3),h3k4me3,sequence_dnase,dnase,0.046248,0.000154,-0.002481,1
all,hek293t,cnn(3|3),h3k4me3,sequence_dnase_rrbs,"dnase,rrbs",-0.003535,-0.001513,0.000184,1
all,hek293t,cnn(3|3),h3k4me3,sequence_rrbs,rrbs,0.044143,-0.002819,-0.002335,1
all,hek293t,cnn(3|3),rrbs,sequence,,-0.066529,0.00217,0.003534,1
all,hek293t,cnn(3|3),rrbs,sequence_ctcf,ctcf,-0.029213,0.000739,0.001563,1
all,hek293t,cnn(3|3),rrbs,sequence_ctcf_dnase,"ctcf,dnase",-0.024083,0.002994,0.001278,1
all,hek293t,cnn(3|3),rrbs,sequence_ctcf_dnase_h3k4me3,"ctcf,dnase,h3k4me3",0.012999,0.000713,-0.000704,1
all,hek293t,cnn(3|3),rrbs,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.055658,-0.002859,-0.002957,1
all,hek293t,cnn(3|3),rrbs,sequence_dnase,dnase,-0.050868,0.004543,0.002678,1
all,hek293t,cnn(3|3),rrbs,sequence_dnase_h3k4me3,"dnase,h3k4me3",-0.10065,0.002876,0.005343,1
all,hek293t,cnn(3|3),rrbs,sequence_h3k4me3,h3k4me3,0.014341,-0.001383,-0.000763,1
all,hek293t,cnn(5|3),ctcf,sequence,,0.031654,-0.000888,-0.001631,1
all,hek293t,cnn(5|3),ctcf,sequence_dnase,dnase,0.061195,-0.00174,-0.003153,1
all,hek293t,cnn(5|3),ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",-0.073275,0.003757,0.003736,1
all,hek293t,cnn(5|3),ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",0.018468,0.002079,-0.000922,1
all,hek293t,cnn(5|3),ctcf,sequence_dnase_rrbs,"dnase,rrbs",-0.16967,0.001189,0.008559,1
all,hek293t,cnn(5|3),ctcf,sequence_h3k4me3,h3k4me3,0.047212,-0.00308,-0.002439,1
all,hek293t,cnn(5|3),ctcf,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",-0.019344,0.002524,0.000983,1
all,hek293t,cnn(5|3),ctcf,sequence_rrbs,rrbs,0.007671,-0.004599,-0.000388,1
all,hek293t,cnn(5|3),dnase,sequence,,-0.014823,0.001619,0.000757,1
all,hek293t,cnn(5|3),dnase,sequence_ctcf,ctcf,0.014718,0.000767,-0.000765,1
all,hek293t,cnn(5|3),dnase,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",-0.09685,0.00394,0.004959,1
all,hek293t,cnn(5|3),dnase,sequence_ctcf_h3k4me3_rrbs,"ctcf,h3k4me3,rrbs",-0.031462,0.00381,0.001585,1
all,hek293t,cnn(5|3),dnase,sequence_ctcf_rrbs,"ctcf,rrbs",-0.097797,0.001929,0.00487,1
all,hek293t,cnn(5|3),dnase,sequence_h3k4me3,h3k4me3,0.023638,-0.002897,-0.001216,1
all,hek293t,cnn(5|3),dnase,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",-0.069273,0.004256,0.00349,1
all,hek293t,cnn(5|3),dnase,sequence_rrbs,rrbs,0.079544,-0.003859,-0.004077,1
all,hek293t,cnn(5|3),h3k4me3,sequence,,-0.000371,0.001058,1.9e-05,1
all,hek293t,cnn(5|3),h3k4me3,sequence_ctcf,ctcf,0.015187,-0.001133,-0.000789,1
all,hek293t,cnn(5|3),h3k4me3,sequence_ctcf_dnase,"ctcf,dnase",-0.09638,0.00204,0.004935,1
all,hek293t,cnn(5|3),h3k4me3,sequence_ctcf_dnase_rrbs,"ctcf,dnase,rrbs",0.066276,0.001981,-0.003283,1
all,hek293t,cnn(5|3),h3k4me3,sequence_ctcf_rrbs,"ctcf,rrbs",-5.9e-05,9.9e-05,3e-06,1
all,hek293t,cnn(5|3),h3k4me3,sequence_dnase,dnase,0.03809,-0.003457,-0.001954,1
all,hek293t,cnn(5|3),h3k4me3,sequence_dnase_rrbs,"dnase,rrbs",-0.121861,0.001092,0.006199,1
all,hek293t,cnn(5|3),h3k4me3,sequence_rrbs,rrbs,0.026956,-0.007023,-0.001368,1
all,hek293t,cnn(5|3),rrbs,sequence,,-0.038512,0.005948,0.001959,1
all,hek293t,cnn(5|3),rrbs,sequence_ctcf,ctcf,-0.062495,0.002237,0.003202,1
all,hek293t,cnn(5|3),rrbs,sequence_ctcf_dnase,"ctcf,dnase",-0.17501,0.003399,0.008837,1
all,hek293t,cnn(5|3),rrbs,sequence_ctcf_dnase_h3k4me3,"ctcf,dnase,h3k4me3",-0.012353,0.00334,0.00062,1
all,hek293t,cnn(5|3),rrbs,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",-0.077741,0.00347,0.003994,1
all,hek293t,cnn(5|3),rrbs,sequence_dnase,dnase,0.055856,0.00047,-0.002875,1
all,hek293t,cnn(5|3),rrbs,sequence_dnase_h3k4me3,"dnase,h3k4me3",-0.104096,0.005019,0.005278,1
all,hek293t,cnn(5|3),rrbs,sequence_h3k4me3,h3k4me3,-0.011185,-0.002134,0.000572,1
all,hek293t,cnn(7|3),ctcf,sequence,,0.064518,-0.000374,-0.003225,1
all,hek293t,cnn(7|3),ctcf,sequence_dnase,dnase,0.036357,-0.000194,-0.001883,1
all,hek293t,cnn(7|3),ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.090675,-0.001398,-0.004542,1
all,hek293t,cnn(7|3),ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",0.029378,-0.00526,-0.001491,1
all,hek293t,cnn(7|3),ctcf,sequence_dnase_rrbs,"dnase,rrbs",-0.194145,0.006844,0.009727,1
all,hek293t,cnn(7|3),ctcf,sequence_h3k4me3,h3k4me3,0.036505,-0.00021,-0.001799,1
all,hek293t,cnn(7|3),ctcf,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.073743,-0.00248,-0.003695,1
all,hek293t,cnn(7|3),ctcf,sequence_rrbs,rrbs,0.066633,-0.003331,-0.003274,1
all,hek293t,cnn(7|3),dnase,sequence,,0.113406,-0.003794,-0.005718,1
all,hek293t,cnn(7|3),dnase,sequence_ctcf,ctcf,0.085245,-0.003613,-0.004377,1
all,hek293t,cnn(7|3),dnase,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.073924,-0.003702,-0.003714,1
all,hek293t,cnn(7|3),dnase,sequence_ctcf_h3k4me3_rrbs,"ctcf,h3k4me3,rrbs",0.013891,-0.00482,-0.000707,1
all,hek293t,cnn(7|3),dnase,sequence_ctcf_rrbs,"ctcf,rrbs",-0.075078,0.003868,0.003684,1
all,hek293t,cnn(7|3),dnase,sequence_h3k4me3,h3k4me3,0.019754,-0.002514,-0.000971,1
all,hek293t,cnn(7|3),dnase,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.058256,-0.002039,-0.002911,1
all,hek293t,cnn(7|3),dnase,sequence_rrbs,rrbs,0.1857,-0.006308,-0.009317,1
all,hek293t,cnn(7|3),h3k4me3,sequence,,-0.02672,0.002598,0.001315,1
all,hek293t,cnn(7|3),h3k4me3,sequence_ctcf,ctcf,-0.054733,0.002762,0.00274,1
all,hek293t,cnn(7|3),h3k4me3,sequence_ctcf_dnase,"ctcf,dnase",-0.066054,0.002674,0.003403,1
all,hek293t,cnn(7|3),h3k4me3,sequence_ctcf_dnase_rrbs,"ctcf,dnase,rrbs",0.14969,-0.010343,-0.00744,1
all,hek293t,cnn(7|3),h3k4me3,sequence_ctcf_rrbs,"ctcf,rrbs",0.060721,-0.001655,-0.00305,1
all,hek293t,cnn(7|3),h3k4me3,sequence_dnase,dnase,-0.120372,0.003878,0.006062,1
all,hek293t,cnn(7|3),h3k4me3,sequence_dnase_rrbs,"dnase,rrbs",-0.073834,0.001762,0.003778,1
all,hek293t,cnn(7|3),h3k4me3,sequence_rrbs,rrbs,0.053611,-0.002507,-0.002628,1
all,hek293t,cnn(7|3),rrbs,sequence,,-0.050931,0.004536,0.002496,1
all,hek293t,cnn(7|3),rrbs,sequence_ctcf,ctcf,-0.048816,0.001579,0.002447,1
all,hek293t,cnn(7|3),rrbs,sequence_ctcf_dnase,"ctcf,dnase",-0.209139,0.00906,0.010507,1
all,hek293t,cnn(7|3),rrbs,sequence_ctcf_dnase_h3k4me3,"ctcf,dnase,h3k4me3",0.006604,-0.003956,-0.000337,1
all,hek293t,cnn(7|3),rrbs,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.066637,-0.002839,-0.003343,1
all,hek293t,cnn(7|3),rrbs,sequence_dnase,dnase,0.021364,0.002022,-0.001104,1
all,hek293t,cnn(7|3),rrbs,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.067902,-9.5e-05,-0.003388,1
all,hek293t,cnn(7|3),rrbs,sequence_h3k4me3,h3k4me3,0.0294,-0.000569,-0.001447,1
all,hek293t,linear,ctcf,sequence,,0.015104,-0.000692,-0.000753,1
all,hek293t,linear,ctcf,sequence_dnase,dnase,0.01368,-0.000628,-0.000682,1
all,hek293t,linear,ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.012018,-0.00056,-0.000597,1
all,hek293t,linear,ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",0.012118,-0.000589,-0.000602,1
all,hek293t,linear,ctcf,sequence_dnase_rrbs,"dnase,rrbs",0.013792,-0.000665,-0.000687,1
all,hek293t,linear,ctcf,sequence_h3k4me3,h3k4me3,0.013358,-0.00058,-0.000664,1
all,hek293t,linear,ctcf,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.013443,-0.000608,-0.000667,1
all,hek293t,linear,ctcf,sequence_rrbs,rrbs,0.014996,-0.000726,-0.000747,1
all,hek293t,linear,dnase,sequence,,0.001248,-1.3e-05,-6.2e-05,1
all,hek293t,linear,dnase,sequence_ctcf,ctcf,-0.000176,5.1e-05,9e-06,1
all,hek293t,linear,dnase,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.000136,1.1e-05,-7e-06,1
all,hek293t,linear,dnase,sequence_ctcf_h3k4me3_rrbs,"ctcf,h3k4me3,rrbs",0.000153,2.1e-05,-8e-06,1
all,hek293t,linear,dnase,sequence_ctcf_rrbs,"ctcf,rrbs",-0.000209,5.5e-05,1e-05,1
all,hek293t,linear,dnase,sequence_h3k4me3,h3k4me3,0.001476,-9e-06,-7.3e-05,1
all,hek293t,linear,dnase,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.001478,1e-06,-7.3e-05,1
all,hek293t,linear,dnase,sequence_rrbs,rrbs,0.000995,-5e-06,-4.9e-05,1
all,hek293t,linear,h3k4me3,sequence,,-0.008029,9.2e-05,0.000398,1
all,hek293t,linear,h3k4me3,sequence_ctcf,ctcf,-0.009774,0.000204,0.000487,1
all,hek293t,linear,h3k4me3,sequence_ctcf_dnase,"ctcf,dnase",-0.009463,0.000164,0.000472,1
all,hek293t,linear,h3k4me3,sequence_ctcf_dnase_rrbs,"ctcf,dnase,rrbs",-0.009632,0.000172,0.00048,1
all,hek293t,linear,h3k4me3,sequence_ctcf_rrbs,"ctcf,rrbs",-0.009994,0.000206,0.000498,1
all,hek293t,linear,h3k4me3,sequence_dnase,dnase,-0.007801,9.7e-05,0.000387,1
all,hek293t,linear,h3k4me3,sequence_dnase_rrbs,"dnase,rrbs",-0.007959,9.5e-05,0.000395,1
all,hek293t,linear,h3k4me3,sequence_rrbs,rrbs,-0.008442,8.8e-05,0.000419,1
all,hek293t,linear,rrbs,sequence,,-0.002092,0.000274,0.000104,1
all,hek293t,linear,rrbs,sequence_ctcf,ctcf,-0.0022,0.00024,0.00011,1
all,hek293t,linear,rrbs,sequence_ctcf_dnase,"ctcf,dnase",-0.002233,0.000245,0.000112,1
all,hek293t,linear,rrbs,sequence_ctcf_dnase_h3k4me3,"ctcf,dnase,h3k4me3",-0.002403,0.000252,0.00012,1
all,hek293t,linear,rrbs,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",-0.00242,0.000243,0.00012,1
all,hek293t,linear,rrbs,sequence_dnase,dnase,-0.002345,0.000282,0.000117,1
all,hek293t,linear,rrbs,sequence_dnase_h3k4me3,"dnase,h3k4me3",-0.002503,0.000281,0.000124,1
all,hek293t,linear,rrbs,sequence_h3k4me3,h3k4me3,-0.002505,0.00027,0.000124,1
all,hek293t,mlp,ctcf,sequence,,-0.036434,-0.000275,0.001835,1
all,hek293t,mlp,ctcf,sequence_dnase,dnase,0.093096,-0.0043,-0.004803,1
all,hek293t,mlp,ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.045488,-0.001404,-0.002338,1
all,hek293t,mlp,ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",0.091258,-0.004632,-0.004645,1
all,hek293t,mlp,ctcf,sequence_dnase_rrbs,"dnase,rrbs",-0.000934,-0.001982,4.8e-05,1
all,hek293t,mlp,ctcf,sequence_h3k4me3,h3k4me3,-0.098119,0.003076,0.004971,1
all,hek293t,mlp,ctcf,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.052949,-0.00136,-0.002712,1
all,hek293t,mlp,ctcf,sequence_rrbs,rrbs,0.035325,-0.000556,-0.001802,1
all,hek293t,mlp,dnase,sequence,,0.00157,0.00061,-8e-05,1
all,hek293t,mlp,dnase,sequence_ctcf,ctcf,0.1311,-0.003414,-0.006717,1
all,hek293t,mlp,dnase,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.112169,-0.004022,-0.005697,1
all,hek293t,mlp,dnase,sequence_ctcf_h3k4me3_rrbs,"ctcf,h3k4me3,rrbs",0.002199,0.000412,-0.000114,1
all,hek293t,mlp,dnase,sequence_ctcf_rrbs,"ctcf,rrbs",-0.000297,-0.001841,1.5e-05,1
all,hek293t,mlp,dnase,sequence_h3k4me3,h3k4me3,-0.031437,0.000458,0.001612,1
all,hek293t,mlp,dnase,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",-0.036111,0.003683,0.00182,1
all,hek293t,mlp,dnase,sequence_rrbs,rrbs,0.035961,-0.000415,-0.001835,1
all,hek293t,mlp,h3k4me3,sequence,,0.047367,-0.001064,-0.002422,1
all,hek293t,mlp,h3k4me3,sequence_ctcf,ctcf,-0.014318,0.002287,0.000715,1
all,hek293t,mlp,h3k4me3,sequence_ctcf_dnase,"ctcf,dnase",-0.033249,0.001679,0.001734,1
all,hek293t,mlp,h3k4me3,sequence_ctcf_dnase_rrbs,"ctcf,dnase,rrbs",0.022087,0.000533,-0.001138,1
all,hek293t,mlp,h3k4me3,sequence_ctcf_rrbs,"ctcf,rrbs",0.019591,-0.001719,-0.001009,1
all,hek293t,mlp,h3k4me3,sequence_dnase,dnase,0.01436,-0.001217,-0.00073,1
all,hek293t,mlp,h3k4me3,sequence_dnase_rrbs,"dnase,rrbs",-0.070105,0.003183,0.003555,1
all,hek293t,mlp,h3k4me3,sequence_rrbs,rrbs,0.001967,-0.000915,-0.0001,1
all,hek293t,mlp,rrbs,sequence,,1.8e-05,0.000634,-1e-06,1
all,hek293t,mlp,rrbs,sequence_ctcf,ctcf,0.071776,0.000353,-0.003638,1
all,hek293t,mlp,rrbs,sequence_ctcf_dnase,"ctcf,dnase",-0.059621,0.001926,0.003095,1
all,hek293t,mlp,rrbs,sequence_ctcf_dnase_h3k4me3,"ctcf,dnase,h3k4me3",-0.004285,0.00078,0.000222,1
all,hek293t,mlp,rrbs,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.105686,-0.003653,-0.005362,1
all,hek293t,mlp,rrbs,sequence_dnase,dnase,0.034409,-0.000392,-0.001756,1
all,hek293t,mlp,rrbs,sequence_dnase_h3k4me3,"dnase,h3k4me3",-0.050056,0.004008,0.002529,1
all,hek293t,mlp,rrbs,sequence_h3k4me3,h3k4me3,-0.045382,0.000783,0.002321,1
all,hek293t,transformer,ctcf,sequence,,0.061404,-0.000993,-0.003049,1
all,hek293t,transformer,ctcf,sequence_dnase,dnase,0.038558,-4.7e-05,-0.001885,1
all,hek293t,transformer,ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.068509,-0.005474,-0.003392,1
all,hek293t,transformer,ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",0.135102,-0.006437,-0.006695,1
all,hek293t,transformer,ctcf,sequence_dnase_rrbs,"dnase,rrbs",-0.08274,0.004086,0.004034,1
all,hek293t,transformer,ctcf,sequence_h3k4me3,h3k4me3,0.089769,-0.005697,-0.004497,1
all,hek293t,transformer,ctcf,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.048853,-0.00461,-0.002389,1
all,hek293t,transformer,ctcf,sequence_rrbs,rrbs,-0.135584,0.005233,0.006646,1
all,hek293t,transformer,dnase,sequence,,-0.035217,0.002425,0.00172,1
all,hek293t,transformer,dnase,sequence_ctcf,ctcf,-0.058063,0.00337,0.002885,1
all,hek293t,transformer,dnase,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",-0.044233,0.001902,0.002234,1
all,hek293t,transformer,dnase,sequence_ctcf_h3k4me3_rrbs,"ctcf,h3k4me3,rrbs",0.081349,-0.002389,-0.004068,1
all,hek293t,transformer,dnase,sequence_ctcf_rrbs,"ctcf,rrbs",0.011079,-0.000983,-0.000532,1
all,hek293t,transformer,dnase,sequence_h3k4me3,h3k4me3,-0.022972,0.001679,0.001129,1
all,hek293t,transformer,dnase,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",-0.0049,-0.000562,0.000238,1
all,hek293t,transformer,dnase,sequence_rrbs,rrbs,-0.041764,0.000164,0.00208,1
all,hek293t,transformer,h3k4me3,sequence,,0.011317,0.001364,-0.000557,1
all,hek293t,transformer,h3k4me3,sequence_ctcf,ctcf,0.039682,-0.00334,-0.002006,1
all,hek293t,transformer,h3k4me3,sequence_ctcf_dnase,"ctcf,dnase",0.053513,-0.004808,-0.002657,1
all,hek293t,transformer,h3k4me3,sequence_ctcf_dnase_rrbs,"ctcf,dnase,rrbs",0.156593,-0.005606,-0.007733,1
all,hek293t,transformer,h3k4me3,sequence_ctcf_rrbs,"ctcf,rrbs",0.086322,-0.004201,-0.004196,1
all,hek293t,transformer,h3k4me3,sequence_dnase,dnase,0.023562,0.000618,-0.001149,1
all,hek293t,transformer,h3k4me3,sequence_dnase_rrbs,"dnase,rrbs",-0.06125,0.004917,0.002997,1
all,hek293t,transformer,h3k4me3,sequence_rrbs,rrbs,-0.098114,0.005642,0.004839,1
all,hek293t,transformer,rrbs,sequence,,0.059799,-0.000476,-0.002969,1
all,hek293t,transformer,rrbs,sequence_ctcf,ctcf,-0.137188,0.00575,0.006727,1
all,hek293t,transformer,rrbs,sequence_ctcf_dnase,"ctcf,dnase",-0.068046,0.001396,0.00331,1
all,hek293t,transformer,rrbs,sequence_ctcf_dnase_h3k4me3,"ctcf,dnase,h3k4me3",0.035034,0.000598,-0.001766,1
all,hek293t,transformer,rrbs,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",-0.090548,0.004889,0.004536,1
all,hek293t,transformer,rrbs,sequence_dnase,dnase,0.053252,-0.002737,-0.002609,1
all,hek293t,transformer,rrbs,sequence_dnase_h3k4me3,"dnase,h3k4me3",-0.031559,0.001561,0.001537,1
all,hek293t,transformer,rrbs,sequence_h3k4me3,h3k4me3,-0.049632,0.003802,0.002428,1
all,hek293t,xgboost,ctcf,sequence,,0.085496,-0.002695,-0.004304,1
all,hek293t,xgboost,ctcf,sequence_dnase,dnase,0.019096,-0.000379,-0.000953,1
all,hek293t,xgboost,ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.024618,-0.000527,-0.001223,1
all,hek293t,xgboost,ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",0.002825,-0.000432,-0.000145,1
all,hek293t,xgboost,ctcf,sequence_dnase_rrbs,"dnase,rrbs",0.006719,-0.000186,-0.000336,1
all,hek293t,xgboost,ctcf,sequence_h3k4me3,h3k4me3,0.023859,-0.000643,-0.001185,1
all,hek293t,xgboost,ctcf,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.091864,-0.002895,-0.004656,1
all,hek293t,xgboost,ctcf,sequence_rrbs,rrbs,0.010283,-0.000179,-0.000515,1
all,hek293t,xgboost,dnase,sequence,,0.009131,-0.000321,-0.000454,1
all,hek293t,xgboost,dnase,sequence_ctcf,ctcf,-0.057269,0.001995,0.002897,1
all,hek293t,xgboost,dnase,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.000919,0.000112,-4.6e-05,1
all,hek293t,xgboost,dnase,sequence_ctcf_h3k4me3_rrbs,"ctcf,h3k4me3,rrbs",-0.006665,0.000229,0.000343,1
all,hek293t,xgboost,dnase,sequence_ctcf_rrbs,"ctcf,rrbs",-0.001507,0.000154,7.6e-05,1
all,hek293t,xgboost,dnase,sequence_h3k4me3,h3k4me3,0.000161,-3e-06,-8e-06,1
all,hek293t,xgboost,dnase,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.082374,-0.002233,-0.004168,1
all,hek293t,xgboost,dnase,sequence_rrbs,rrbs,0.002057,0.000161,-0.000103,1
all,hek293t,xgboost,h3k4me3,sequence,,-0.008282,3.6e-05,0.00041,1
all,hek293t,xgboost,h3k4me3,sequence_ctcf,ctcf,-0.069919,0.002088,0.00353,1
all,hek293t,xgboost,h3k4me3,sequence_ctcf_dnase,"ctcf,dnase",-0.011731,0.000205,0.000586,1
all,hek293t,xgboost,h3k4me3,sequence_ctcf_dnase_rrbs,"ctcf,dnase,rrbs",0.070798,-0.002295,-0.003593,1
all,hek293t,xgboost,h3k4me3,sequence_ctcf_rrbs,"ctcf,rrbs",0.075957,-0.00237,-0.003861,1
all,hek293t,xgboost,h3k4me3,sequence_dnase,dnase,-0.017252,0.000353,0.000856,1
all,hek293t,xgboost,h3k4me3,sequence_dnase_rrbs,"dnase,rrbs",0.074692,-0.002048,-0.003785,1
all,hek293t,xgboost,h3k4me3,sequence_rrbs,rrbs,-0.005625,0.000346,0.000281,1
all,hek293t,xgboost,rrbs,sequence,,0.021467,-0.000888,-0.001069,1
all,hek293t,xgboost,rrbs,sequence_ctcf,ctcf,-0.053746,0.001628,0.002721,1
all,hek293t,xgboost,rrbs,sequence_ctcf_dnase,"ctcf,dnase",0.002016,-0.000214,-0.000101,1
all,hek293t,xgboost,rrbs,sequence_ctcf_dnase_h3k4me3,"ctcf,dnase,h3k4me3",0.084545,-0.002713,-0.004281,1
all,hek293t,xgboost,rrbs,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.092129,-0.00283,-0.00467,1
all,hek293t,xgboost,rrbs,sequence_dnase,dnase,0.014393,-0.000407,-0.000718,1
all,hek293t,xgboost,rrbs,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.106337,-0.002808,-0.005358,1
all,hek293t,xgboost,rrbs,sequence_h3k4me3,h3k4me3,0.024125,-0.000578,-0.001198,1
all,hela,cnn(3|3),ctcf,sequence,,-0.002115,4.7e-05,0.00019,1
all,hela,cnn(3|3),ctcf,sequence_dnase,dnase,-0.016956,0.000909,0.001523,1
all,hela,cnn(3|3),ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",-0.014931,0.001269,0.00134,1
all,hela,cnn(3|3),ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",-0.008224,-6e-06,0.00074,1
all,hela,cnn(3|3),ctcf,sequence_dnase_rrbs,"dnase,rrbs",-0.016299,0.001717,0.001465,1
all,hela,cnn(3|3),ctcf,sequence_h3k4me3,h3k4me3,-0.014882,-2.8e-05,0.00134,1
all,hela,cnn(3|3),ctcf,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",-0.00748,0.000765,0.000672,1
all,hela,cnn(3|3),ctcf,sequence_rrbs,rrbs,-0.002161,2e-06,0.000195,1
all,hela,cnn(3|3),dnase,sequence,,0.005283,-0.001478,-0.000476,1
all,hela,cnn(3|3),dnase,sequence_ctcf,ctcf,-0.009557,-0.000616,0.000857,1
all,hela,cnn(3|3),dnase,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",-0.007385,0.001118,0.000661,1
all,hela,cnn(3|3),dnase,sequence_ctcf_h3k4me3_rrbs,"ctcf,h3k4me3,rrbs",0.003243,0.000471,-0.000291,1
all,hela,cnn(3|3),dnase,sequence_ctcf_rrbs,"ctcf,rrbs",-0.013229,0.001941,0.001188,1
all,hela,cnn(3|3),dnase,sequence_h3k4me3,h3k4me3,-0.007335,-0.000179,0.000662,1
all,hela,cnn(3|3),dnase,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.003987,0.001242,-0.000359,1
all,hela,cnn(3|3),dnase,sequence_rrbs,rrbs,0.000909,0.000226,-8.2e-05,1
all,hela,cnn(3|3),h3k4me3,sequence,,0.008889,-0.001194,-0.000802,1
all,hela,cnn(3|3),h3k4me3,sequence_ctcf,ctcf,-0.003877,-0.00127,0.000348,1
all,hela,cnn(3|3),h3k4me3,sequence_ctcf_dnase,"ctcf,dnase",-0.001704,0.000464,0.000152,1
all,hela,cnn(3|3),h3k4me3,sequence_ctcf_dnase_rrbs,"ctcf,dnase,rrbs",0.006286,-0.001201,-0.000564,1
all,hela,cnn(3|3),h3k4me3,sequence_ctcf_rrbs,"ctcf,rrbs",-0.010186,0.000268,0.000916,1
all,hela,cnn(3|3),h3k4me3,sequence_dnase,dnase,-0.003729,0.000104,0.000336,1
all,hela,cnn(3|3),h3k4me3,sequence_dnase_rrbs,"dnase,rrbs",-0.001788,0.000522,0.000161,1
all,hela,cnn(3|3),h3k4me3,sequence_rrbs,rrbs,-0.004866,-0.000494,0.000439,1
all,hela,cnn(3|3),rrbs,sequence,,0.005475,-0.001063,-0.000493,1
all,hela,cnn(3|3),rrbs,sequence_ctcf,ctcf,0.00543,-0.001108,-0.000489,1
all,hela,cnn(3|3),rrbs,sequence_ctcf_dnase,"ctcf,dnase",0.001758,0.001449,-0.000157,1
all,hela,cnn(3|3),rrbs,sequence_ctcf_dnase_h3k4me3,"ctcf,dnase,h3k4me3",0.009749,-0.000217,-0.000874,1
all,hela,cnn(3|3),rrbs,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",-0.000879,0.00043,7.9e-05,1
all,hela,cnn(3|3),rrbs,sequence_dnase,dnase,0.001101,0.000641,-9.9e-05,1
all,hela,cnn(3|3),rrbs,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.003042,0.001058,-0.000274,1
all,hela,cnn(3|3),rrbs,sequence_h3k4me3,h3k4me3,-0.008281,-0.000363,0.000747,1
all,hela,cnn(5|3),ctcf,sequence,,0.027426,0.001894,-0.002461,1
all,hela,cnn(5|3),ctcf,sequence_dnase,dnase,0.015774,0.000908,-0.001414,1
all,hela,cnn(5|3),ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.01187,0.00186,-0.001066,1
all,hela,cnn(5|3),ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",-0.002821,-0.001039,0.000253,1
