split_type,cell_line,model,environment_added,background,background_set,delta_r2_mean,delta_mae_mean,delta_rmse_mean,n_paired
all,hct116,cnn(5|3),h3k4me3,sequence_dnase,dnase,-0.008649,0.00276,0.00077,1
all,hct116,cnn(5|3),h3k4me3,sequence_dnase_rrbs,"dnase,rrbs",0.000598,-0.000928,-5.3e-05,1
all,hct116,cnn(5|3),h3k4me3,sequence_rrbs,rrbs,-0.010731,0.001252,0.000957,1
all,hct116,cnn(5|3),rrbs,sequence,,-0.000992,-0.00213,8.9e-05,1
all,hct116,cnn(5|3),rrbs,sequence_ctcf,ctcf,0.001673,0.000754,-0.000148,1
all,hct116,cnn(5|3),rrbs,sequence_ctcf_dnase,"ctcf,dnase",0.018908,-0.0014,-0.001689,1
all,hct116,cnn(5|3),rrbs,sequence_ctcf_dnase_h3k4me3,"ctcf,dnase,h3k4me3",-0.015723,0.001622,0.001398,1
all,hct116,cnn(5|3),rrbs,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.004947,-0.004221,-0.00044,1
all,hct116,cnn(5|3),rrbs,sequence_dnase,dnase,0.003977,0.001133,-0.000355,1
all,hct116,cnn(5|3),rrbs,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.013224,-0.002554,-0.001179,1
all,hct116,cnn(5|3),rrbs,sequence_h3k4me3,h3k4me3,-0.010265,-0.00021,0.000915,1
all,hct116,cnn(7|3),ctcf,sequence,,-0.031289,0.000685,0.002826,1
all,hct116,cnn(7|3),ctcf,sequence_dnase,dnase,-0.008867,0.002213,0.000794,1
all,hct116,cnn(7|3),ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",-0.006841,0.004582,0.000611,1
all,hct116,cnn(7|3),ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",0.01282,-0.001201,-0.001151,1
all,hct116,cnn(7|3),ctcf,sequence_dnase_rrbs,"dnase,rrbs",-0.004274,-0.004026,0.000383,1
all,hct116,cnn(7|3),ctcf,sequence_h3k4me3,h3k4me3,0.007766,0.002464,-0.000696,1
all,hct116,cnn(7|3),ctcf,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.004503,0.000124,-0.000403,1
all,hct116,cnn(7|3),ctcf,sequence_rrbs,rrbs,-0.031283,0.005311,0.002811,1
all,hct116,cnn(7|3),dnase,sequence,,-0.02614,0.002214,0.002364,1
all,hct116,cnn(7|3),dnase,sequence_ctcf,ctcf,-0.003717,0.003742,0.000332,1
all,hct116,cnn(7|3),dnase,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",-0.015043,0.000765,0.001345,1
all,hct116,cnn(7|3),dnase,sequence_ctcf_h3k4me3_rrbs,"ctcf,h3k4me3,rrbs",0.011204,-0.001623,-0.001006,1
all,hct116,cnn(7|3),dnase,sequence_ctcf_rrbs,"ctcf,rrbs",0.009253,-0.006005,-0.000827,1
all,hct116,cnn(7|3),dnase,sequence_h3k4me3,h3k4me3,-0.000436,-0.001352,3.9e-05,1
all,hct116,cnn(7|3),dnase,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.002887,-0.000298,-0.000258,1
all,hct116,cnn(7|3),dnase,sequence_rrbs,rrbs,-0.017755,0.003332,0.001601,1
all,hct116,cnn(7|3),h3k4me3,sequence,,-0.033397,0.001279,0.003014,1
all,hct116,cnn(7|3),h3k4me3,sequence_ctcf,ctcf,0.005658,0.003058,-0.000507,1
all,hct116,cnn(7|3),h3k4me3,sequence_ctcf_dnase,"ctcf,dnase",-0.005668,8.1e-05,0.000506,1
all,hct116,cnn(7|3),h3k4me3,sequence_ctcf_dnase_rrbs,"ctcf,dnase,rrbs",0.011148,0.000491,-0.001001,1
all,hct116,cnn(7|3),h3k4me3,sequence_ctcf_rrbs,"ctcf,rrbs",0.009197,-0.003891,-0.000821,1
all,hct116,cnn(7|3),h3k4me3,sequence_dnase,dnase,-0.007693,-0.002287,0.000689,1
all,hct116,cnn(7|3),h3k4me3,sequence_dnase_rrbs,"dnase,rrbs",-0.005946,-0.002334,0.000533,1
all,hct116,cnn(7|3),h3k4me3,sequence_rrbs,rrbs,-0.026589,0.001295,0.002392,1
all,hct116,cnn(7|3),rrbs,sequence,,-0.008887,0.000309,0.000808,1
all,hct116,cnn(7|3),rrbs,sequence_ctcf,ctcf,-0.008881,0.004935,0.000793,1
all,hct116,cnn(7|3),rrbs,sequence_ctcf_dnase,"ctcf,dnase",0.00409,-0.004812,-0.000366,1
all,hct116,cnn(7|3),rrbs,sequence_ctcf_dnase_h3k4me3,"ctcf,dnase,h3k4me3",0.020905,-0.004403,-0.001873,1
all,hct116,cnn(7|3),rrbs,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",-0.005342,-0.002014,0.000479,1
all,hct116,cnn(7|3),rrbs,sequence_dnase,dnase,-0.000503,0.001427,4.5e-05,1
all,hct116,cnn(7|3),rrbs,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.001245,0.001379,-0.000111,1
all,hct116,cnn(7|3),rrbs,sequence_h3k4me3,h3k4me3,-0.002079,0.000325,0.000186,1
all,hct116,linear,ctcf,sequence,,-0.003434,0.000566,0.00031,1
all,hct116,linear,ctcf,sequence_dnase,dnase,2.528636771147087e+20,-93702624.427621,-1842748273.506194,1
all,hct116,linear,ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",6.044225365913829e+19,-47751985.233617,-861682712.997079,1
all,hct116,linear,ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",7.644366631083213e+19,-122408552.34738,-1331802722.12211,1
all,hct116,linear,ctcf,sequence_dnase_rrbs,"dnase,rrbs",3.967080927617133e+20,-157859331.435864,-3392392534.357783,1
all,hct116,linear,ctcf,sequence_h3k4me3,h3k4me3,-0.003807,0.000465,0.000343,1
all,hct116,linear,ctcf,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",-0.003825,0.000482,0.000345,1
all,hct116,linear,ctcf,sequence_rrbs,rrbs,-0.003201,0.000481,0.000289,1
all,hct116,linear,dnase,sequence,,-2.940350656376864e+20,137706602.349439,2944605453.728746,1
all,hct116,linear,dnase,sequence_ctcf,ctcf,-4.1171388522977714e+19,44003977.921252,1101857180.222242,1
all,hct116,linear,dnase,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",-1.2346487394492056e+19,20704880.390624,603391596.874263,1
all,hct116,linear,dnase,sequence_ctcf_h3k4me3_rrbs,"ctcf,h3k4me3,rrbs",-1.1036558405629404e+18,6311408.408356,180403260.186775,1
all,hct116,linear,dnase,sequence_ctcf_rrbs,"ctcf,rrbs",-2.6611851382391896e+16,1040799.75976,28013352.83153,1
all,hct116,linear,dnase,sequence_h3k4me3,h3k4me3,-7.278874105363035e+19,68456865.624705,1465074309.871685,1
all,hct116,linear,dnase,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",-7.754732215139507e+19,128719960.756218,1512205982.309229,1
all,hct116,linear,dnase,sequence_rrbs,rrbs,-3.967347046130957e+20,158900131.196105,3420405887.189602,1
all,hct116,linear,h3k4me3,sequence,,-0.001846,-3.2e-05,0.000167,1
all,hct116,linear,h3k4me3,sequence_ctcf,ctcf,-0.002218,-0.000132,0.0002,1
all,hct116,linear,h3k4me3,sequence_ctcf_dnase,"ctcf,dnase",2.882490112848566e+19,-23299097.530761,-498465583.347779,1
all,hct116,linear,h3k4me3,sequence_ctcf_dnase_rrbs,"ctcf,dnase,rrbs",-1.0770439891805485e+18,5270608.64877,152389907.355491,1
all,hct116,linear,h3k4me3,sequence_ctcf_rrbs,"ctcf,rrbs",-0.00274,0.000173,0.000247,1
all,hct116,linear,h3k4me3,sequence_dnase,dnase,2.2124632458405606e+20,-69249736.724765,-1479531143.856894,1
all,hct116,linear,h3k4me3,sequence_dnase_rrbs,"dnase,rrbs",3.1918738246170064e+20,-30180170.439714,-1908199904.880182,1
