feature,estimate,ci_low,ci_high,excludes_zero,n_bootstrap,seed,n_models,estimate_basis,interval_type,status,reason
ctcf,0.000319119047619048,-0.0034624783730158723,0.003774142857142857,False,2000,2024,7,cross_model_mean_of_main_effect,model_level_bootstrap,ok,
dnase,0.0013204761904761903,-0.0014009047619047616,0.004210727777777777,False,2000,2024,7,cross_model_mean_of_main_effect,model_level_bootstrap,ok,
h3k4me3,-0.0006586587301587304,-0.003376888888888889,0.0017762857142857142,False,2000,2024,7,cross_model_mean_of_main_effect,model_level_bootstrap,ok,
rrbs,-0.0014877936507936508,-0.0039690507936507935,0.0010359722222222218,False,2000,2024,7,cross_model_mean_of_main_effect,model_level_bootstrap,ok,
