split_type,cell_line,model,combination,environment_count,CTCF,DNase,H3K4me3,RRBS,r2,rmse,mae,pearson,spearman,sample_count,eligible_count,n_invalid,status,warning
all,hct116,cnn(3|3),sequence,0,False,False,False,False,0.0462508330760303,0.1677044686419086,0.1338693705839878,0.2211789972720529,0.2184286360589331,1,1,0,ok,
all,hct116,cnn(3|3),sequence_ctcf,1,True,False,False,False,0.0462619734289424,0.1677034891954849,0.1344070145791863,0.216586828232055,0.2124443459695251,1,1,0,ok,
all,hct116,cnn(3|3),sequence_dnase,1,False,True,False,False,0.044802007162228,0.1678317989629831,0.1352599444191302,0.2118545949555724,0.2156432498623385,1,1,0,ok,
all,hct116,cnn(3|3),sequence_h3k4me3,1,False,False,True,False,0.0428633908565029,0.168002023643097,0.1352940142948797,0.2077160232012613,0.2192701210148012,1,1,0,ok,
all,hct116,cnn(3|3),sequence_rrbs,1,False,False,False,True,0.0493531114793655,0.1674314986994332,0.1351680146421393,0.2233239012774821,0.2191336367170545,1,1,0,ok,
all,hct116,cnn(3|3),sequence_ctcf_dnase,2,True,True,False,False,0.0355393683641209,0.1686435755882413,0.1340622092810175,0.2060194499971872,0.2146518885621334,1,1,0,ok,
all,hct116,cnn(3|3),sequence_ctcf_h3k4me3,2,True,False,True,False,0.036599156327575,0.168550893963615,0.133608850359348,0.2032929281817052,0.2208576454796536,1,1,0,ok,
all,hct116,cnn(3|3),sequence_ctcf_rrbs,2,True,False,False,True,0.0425483658645327,0.1680296688514904,0.1339999796801671,0.2125285204731797,0.2251382687463393,1,1,0,ok,
all,hct116,cnn(3|3),sequence_dnase_h3k4me3,2,False,True,True,False,0.0370189578246916,0.1685141669729995,0.1351609782041477,0.1948981595943369,0.1989423449196201,1,1,0,ok,
all,hct116,cnn(3|3),sequence_dnase_rrbs,2,False,True,False,True,0.0421067714709796,0.1680684135793332,0.133667898950719,0.2143225667435621,0.2183905013421294,1,1,0,ok,
all,hct116,cnn(3|3),sequence_h3k4me3_rrbs,2,False,False,True,True,0.0436923716117737,0.1679292541910212,0.1340302570188115,0.2147917721508424,0.2353096356101982,1,1,0,ok,
