Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.0013923152113269085,0.00423213098925352,-0.3289867952722538,0.742171355063165,0.8972519367181547
pos1_C,-0.016028596171628072,0.004127089966040959,-3.8837525480463437,0.00010340311047429829,0.0008816475735177012
pos1_G,0.028160499667902555,0.0042245240108108465,6.665958009905473,2.7434721161512243e-11,7.407374713608306e-10
pos1_CTCF,-0.04696053366389364,0.03503919340981527,-1.3402287294301396,0.1801961255561937,0.43697305067466186
pos1_Dnase,-0.07079937256646555,0.08028244533746659,-0.8818786257551197,0.3778599414815924,0.6835597280594979
pos1_H3K4me3,0.04373484078876554,0.04447136055651282,0.9834383351772804,0.3254113880747673,0.6351402996158109
pos1_RRBS,0.003878227604734642,0.017307770593505807,0.22407435918926635,0.8227032217917567,0.9385769150018634
pos2_A,0.016221734187860253,0.004597709932047064,3.5282204461815105,0.0004199128942459218,0.0027210355547135734
pos2_C,0.011047795599785103,0.00454288681993587,2.431888805000222,0.015034707249188761,0.0640953309044363
pos2_G,0.014968681969341388,0.004522835831155188,3.3095788854927775,0.0009370912945314558,0.004897057732712769
pos2_CTCF,0.0455237843576015,0.04444111478284692,1.0243618905611356,0.3056848263081817,0.634883870024685
pos2_Dnase,-0.028527682447686036,0.10768675397089685,-0.2649135701072005,0.7910805507572616,0.9354383154939881
pos2_H3K4me3,-0.032436180135090247,0.06140415156063196,-0.5282408324307187,0.5973418668746149,0.8415338849517217
pos2_RRBS,0.0011194487694550475,0.01583782273258647,0.07068198630306495,0.9436520243755036,0.9949386200722101
pos3_A,-0.007576146555379332,0.004122382111141182,-1.8378079351023717,0.06611518190841759,0.2059742205608394
pos3_C,-0.018328216736130547,0.004239849159380426,-4.322846414377834,1.552590383369079e-05,0.0001866848482084484
pos3_G,0.0009844763724656935,0.0042557113142184175,0.231330628366764,0.8170618602441266,0.9385769150018634
pos3_CTCF,0.023025224340711286,0.0427593341062146,0.538484165434298,0.5902527264655364,0.8415338849517217
pos3_Dnase,0.4806508166650112,0.13436931741965108,3.577087581414755,0.00034879841222523744,0.0025684246718403847
pos3_H3K4me3,-0.01386958871835908,0.05834833473579076,-0.23770324862161832,0.8121152831666147,0.9385769150018634
pos3_RRBS,-0.006063216580890622,0.017404243411324218,-0.3483757631742578,0.7275640548438558,0.8972519367181547
pos4_A,0.018910735146888676,0.004383204639113265,4.3143628244366825,1.613325848714986e-05,0.0001866848482084484
pos4_C,0.003182880248010131,0.004274345167325278,0.7446474543846574,0.45649931495121643,0.7322068220009611
pos4_G,0.01475296486056124,0.0042625372574899584,3.461075873210944,0.000539875659233191,0.0030158571308888603
pos4_CTCF,-0.012311741357500022,0.04850065726113668,-0.25384689719174913,0.7996181484673559,0.9385769150018634
pos4_Dnase,-0.3634604363315254,0.1610950052363999,-2.256186874311609,0.024076681274832534,0.09513225284202123
pos4_H3K4me3,0.03601971197776582,0.05679250257505083,0.6342335756408352,0.5259403727260912,0.7889105590891368
pos4_RRBS,0.0010933072205451396,0.01814236968721637,0.060262647018791325,0.9519474451308183,0.9949386200722101
pos5_A,0.006781156842910906,0.0043605998547528255,1.5550972500996165,0.11994902857633583,0.31341520369945813
pos5_C,0.008189241478226531,0.004294409817676655,1.906953883282859,0.056550186615957676,0.1832226046357029
pos5_G,-0.004791769556066671,0.004293800034465754,-1.1159740830042812,0.2644553606614073,0.5712235790286397
pos5_CTCF,-0.0161484786424594,0.04869895711538944,-0.3315980382125327,0.7401985364388188,0.8972519367181547
pos5_Dnase,-0.03636768373896177,0.1323799155008819,-0.27472206490960854,0.783534461869192,0.9333278148735963
pos5_H3K4me3,0.08212791061555266,0.06670986521747505,1.2311209196393156,0.21830153940547392,0.5052121340526682
pos5_RRBS,0.006883993831192155,0.016950959897982936,0.4061123306657878,0.684667238163184,0.8972519367181547
pos6_A,0.004858440463882548,0.004073444796657635,1.1927105205572008,0.23300612087838002,0.5222252443060172
pos6_C,0.019584855871365287,0.004182284552264967,4.682812856614185,2.860372281920931e-06,3.861502580593257e-05
pos6_G,0.024413549208622157,0.004284007629414054,5.698764176094926,1.2349240074982504e-08,2.2228632134968507e-07
pos6_CTCF,-0.017393612688294407,0.047800105957715944,-0.36388230402001254,0.7159522487913443,0.8972519367181547
pos6_Dnase,-0.07010340874284458,0.08982150040114756,-0.7804747018226044,0.4351267599399278,0.7261613020361258
pos6_H3K4me3,-0.10137834791784921,0.06474819526623868,-1.5657324115520237,0.1174373908361308,0.311882906810708
pos6_RRBS,-0.006651933551125194,0.01613589202109299,-0.4122445503743904,0.680167479926379,0.8972519367181547
pos7_A,0.007575374827773173,0.004379114095386422,1.7298875212578144,0.08367583972152937,0.233715276463582
pos7_C,0.0052994837279980314,0.004250918455640965,1.2466679338357152,0.21254338171966602,0.4990148962113898
pos7_G,0.0027850669390620197,0.004245055342502541,0.6560731755784766,0.5117895013295599,0.7889105590891368
pos7_CTCF,-0.03729861916718,0.04870062286131556,-0.7658756084782535,0.44376524013318797,0.7261613020361258
pos7_Dnase,0.07725026043220742,0.04465368741116832,1.729986142485657,0.0836582168935196,0.233715276463582
pos7_H3K4me3,0.054410303686684404,0.05276213498260857,1.0312377181973227,0.30244994137515113,0.634883870024685
pos7_RRBS,-0.00311702639289242,0.016777386090163004,-0.1857873673611177,0.8526146215491535,0.9460518403490606
pos8_A,8.877271166672265e-05,0.004308339279023426,0.020604856283937975,0.9835612058305523,1.0
pos8_C,0.012349933681742378,0.004296463371801509,2.8744417473211334,0.004054468366319508,0.019903753798295766
pos8_G,0.011356742626941169,0.004274147318004326,2.657077957772366,0.007892456454556829,0.03760523369524136
pos8_CTCF,0.10393383224546382,0.04683611702874071,2.2190958354144823,0.02649865818595809,0.10220911014583836
pos8_Dnase,0.0772502604322091,0.044653687411168305,1.729986142485695,0.08365821689351272,0.233715276463582
pos8_H3K4me3,0.003608224075340079,0.058779714699659674,0.06138553230100945,0.9510531866870742,0.9949386200722101
pos8_RRBS,-0.007425557280265011,0.018011850138333726,-0.4122595526409342,0.6801564852959414,0.8972519367181547
pos9_A,0.0061983273840018945,0.0040840579388554685,1.5176884061882179,0.12911905868545204,0.3320204366197338
pos9_C,-0.009261834340211965,0.0042046333971802125,-2.2027685805909507,0.027629822618407296,0.10409375032981354
pos9_G,-0.008266818267466006,0.004209914285060869,-1.9636547700748448,0.04959297436122223,0.16737628846912503
pos9_CTCF,-0.030436254853476723,0.04717148484073111,-0.6452257111736276,0.5187931441912359,0.7889105590891368
pos9_Dnase,0.007625677043981807,0.11343534948300259,0.06722487371649924,0.9464037927834583,0.9949386200722101
pos9_H3K4me3,-0.12832644585485076,0.062021945336790354,-2.0690490302749294,0.03856264172942292,0.13580756435144595
pos9_RRBS,0.03128935502892253,0.01835220268510956,1.7049373072971667,0.08823175312946252,0.24226345774530386
pos10_A,0.027913032603609837,0.0043789291417250156,6.374396958753688,1.903504021072422e-10,4.405252163053319e-09
pos10_C,0.008837976751946914,0.004266323237562951,2.071567544187164,0.038326902295617415,0.13580756435144595
pos10_G,0.00507399326009142,0.004275301242059818,1.1868153781011221,0.23532372119962508,0.5222252443060172
pos10_CTCF,-0.004036571756999396,0.0461599361514199,-0.08744751603984248,0.9303172468150454,0.9949386200722101
pos10_Dnase,-0.10350744425348908,0.10860921837316877,-0.9530263250569525,0.340595744786798,0.6428178120340444
pos10_H3K4me3,0.1373540198069346,0.07457376255007885,1.841854495603553,0.06552086099024024,0.2059742205608394
pos10_RRBS,-0.0032347946844955688,0.015987912138101693,-0.20232752447935634,0.8396640805810529,0.9446220906536846
pos11_A,0.021114273318630344,0.004355221137349722,4.848037023322997,1.2623699841007863e-06,2.0450393742432738e-05
pos11_C,-0.00784868916233173,0.004298126039374843,-1.8260723604730102,0.0678639609410332,0.20743323910278072
pos11_G,0.0038207507213483985,0.004302089912828272,0.8881150321743432,0.37449650764531794,0.6835597280594979
pos11_CTCF,-0.015977773137234856,0.04755383087093944,-0.33599339621235463,0.7368816645059968,0.8972519367181547
pos11_Dnase,-0.009979955513998663,0.09235495904314904,-0.10806085149510966,0.9139492115667729,0.9936897468041423
pos11_H3K4me3,-0.060859604738287124,0.07409381260043534,-0.8213857892086599,0.411442717190615,0.7031577385149271
pos11_RRBS,0.00040407742604974364,0.01738298354533859,0.023245573752964908,0.9814547686200628,1.0
pos12_A,0.019209264795066645,0.0040706828992128205,4.7189292977798125,2.397409075260981e-06,3.5307297290207174e-05
pos12_C,0.0012564118843513803,0.004216049105567391,0.29800693798662337,0.7657029781995788,0.9188435738394946
pos12_G,-0.002831394905011623,0.004331429985416721,-0.6536859454139875,0.5133265653589181,0.7889105590891368
