iteration,train_rmse,validation_rmse
0,0.1177967773530053,0.12569484266820471
1,0.11712455558691305,0.12557431508702957
2,0.11673151405255715,0.12567571443508602
3,0.11604823769048815,0.12566166337847426
4,0.11545290481675025,0.12536652521557884
5,0.11489161367228368,0.12510085601452592
6,0.11415836009588147,0.12521395176208247
7,0.11369759555194663,0.12493431499681228
8,0.11318519342097255,0.12483408322504623
9,0.11258434589202004,0.12485104647196885
10,0.1119637809683146,0.12487726462975032
11,0.11156399660597453,0.1249027483909764
12,0.11098646282636898,0.12476258560952601
13,0.11049983966688591,0.12474810714087423
14,0.10995190448786447,0.1247311507108649
15,0.10944559391157462,0.1246262450786683
16,0.10886889982346495,0.12457277931057044
17,0.10844478941327391,0.12453243445892352
18,0.10785470891529972,0.12461500321738156
19,0.10737182462282206,0.12446206394948103
20,0.10686235076841327,0.12462974840374706
21,0.10642854698949755,0.1245129122868662
22,0.10591677614129336,0.12458927789416
23,0.10554528862549156,0.12454509811380728
24,0.10505557076106134,0.12435831885222233
25,0.10455696015880399,0.12416983054592455
26,0.10418513350784313,0.12415369453545966
27,0.10378567370404228,0.12420350638784255
28,0.10332765527640955,0.12419431803410436
29,0.10289519126298897,0.12403773232608797
30,0.1023909691569147,0.12409215229164956
31,0.10193612458088425,0.12414468224522587
32,0.10147053899490942,0.12420879095950428
33,0.10123284827485277,0.12432967005206566
34,0.10100660286186762,0.1244204011862403
35,0.10049766792612244,0.12439059959337447
36,0.10016175276629911,0.1244228355276243
37,0.09967368745527763,0.12443419473299162
38,0.09923688004723803,0.12448963656851962
39,0.09886509205910125,0.12440592198601277
40,0.09837836048849169,0.12439051055152693
41,0.0979250386123126,0.1243449670021251
42,0.09759477962218442,0.12447202253264257
43,0.09716753350668701,0.12464594688565428
44,0.09676596044551626,0.12452590610786977
45,0.09637905774654462,0.12441903967102383
46,0.09601194558374004,0.12436381544872697
47,0.09585300915636841,0.12441525234536724
48,0.09560633475842614,0.12437792163365355
49,0.09526510182977634,0.12441247024447956
50,0.09514728930894303,0.1244051670536906
51,0.09476235322446068,0.12452430801951601
52,0.0943643236608168,0.1246779871285811
53,0.09397573858441657,0.12451464462435465
54,0.09362597043106839,0.12454744427113772
55,0.09320547667953,0.12448685369290662
56,0.09284773979062594,0.12451611075038947
57,0.09253554297005169,0.12454216289243146
58,0.09223197298470295,0.12457074064343748
59,0.09199294176604758,0.12457071526430107
