iteration,train_rmse,validation_rmse
0,0.11772982811352525,0.11908671035466077
1,0.1174020290429538,0.11905372532721267
2,0.11716435026764477,0.11898331812103931
3,0.1169233830883294,0.11900435623559935
4,0.11664359399286273,0.11898211175580095
5,0.11636897538934664,0.11893695769659601
6,0.11609987629391906,0.11888243746533574
7,0.11580332932707796,0.11881818679607585
8,0.11556928507893419,0.11886453538792541
9,0.11528229818194317,0.1187333607709733
10,0.11506264094380446,0.11869763121795865
11,0.11478633893728146,0.11871152775452767
12,0.11453158603292342,0.11868974039261097
13,0.11428789240282856,0.1185692048697967
14,0.11405871766576206,0.1185372659653827
15,0.11377745179766442,0.11850477687203259
16,0.11351696867641049,0.11852026291489874
17,0.11326917930335122,0.11847648468600651
18,0.113073077494857,0.11857433458502321
19,0.1128360500579714,0.11864133359698545
20,0.11260442876666689,0.11856680521513993
21,0.11239763759639292,0.11859332106099144
22,0.11218064010664386,0.11854959059180935
23,0.11192668627522019,0.11849316515711497
24,0.11169332263378727,0.11851883371770541
25,0.11143223949173765,0.1185055418497837
26,0.11121237729336018,0.118492972362459
27,0.11098674896316649,0.11855154056542436
28,0.11074788200385648,0.1185548639074918
29,0.1104950827527783,0.11851758575248053
30,0.11028945091134608,0.11853661337024426
31,0.11003272886321672,0.11843555414863763
32,0.1097881235524583,0.11844507297590084
33,0.1095914568169272,0.11841840161564465
34,0.10936343989100941,0.11837821909762382
35,0.1091395236725047,0.11850025988288798
36,0.1089112742124009,0.11844502763431687
37,0.10868762197425957,0.11841092358769412
38,0.10847518009167652,0.11843755545976924
39,0.10823233177884825,0.11846309644789497
40,0.10801591417178448,0.11851261832822559
41,0.10776839458915467,0.11852986326978536
42,0.10756840869496848,0.11852311740565506
43,0.10737863279227225,0.11849151595844083
44,0.10714794598489459,0.11848835175766696
45,0.10694149705006777,0.1184565890690927
46,0.10673696001440137,0.11840462645196896
47,0.10650394110928754,0.1182962522043159
48,0.10632089515060239,0.11833531483731896
49,0.10613986707603879,0.1183496413280522
50,0.10597270012863619,0.11838825495009624
51,0.1057538315798278,0.11843107402210863
52,0.10554418429775266,0.1183867968228959
53,0.10534041815241628,0.11841651394069064
54,0.10513789909326417,0.11848843623975044
55,0.1049423386157724,0.11851734292592143
56,0.10475058762168078,0.11847555921329848
57,0.10455688009415887,0.11848750744291223
58,0.10438476919291623,0.11854132366833085
59,0.10420188076181874,0.11859118018697898
60,0.1039919564326629,0.11851997303946923
61,0.1037906144875819,0.11847502673579514
62,0.10356305924508732,0.11841555835746113
63,0.10337249204895439,0.11836135657787292
64,0.10316201395853665,0.11836264769961496
65,0.1029666967491067,0.11839636968566504
66,0.10274970200227582,0.11838790460924752
67,0.10256610716579244,0.11849199180256349
68,0.1023399638935926,0.11850277624669693
69,0.10215149305399696,0.11855115000862347
70,0.10193732132972151,0.11850030537510574
71,0.1017539766621879,0.11843344343090985
72,0.10157398026940738,0.11832694713911944
73,0.10138207660839788,0.1183559614827769
74,0.10118754340272425,0.11836333764730286
75,0.1010124408561094,0.11842612697923381
76,0.10080682281499163,0.11842925573121446
77,0.10057557219405279,0.11846847034901246
