epoch,train_loss,validation_loss
1,0.030402511109780997,0.02609532048740514
2,0.027495862191378284,0.025845007167234958
3,0.027116016377281567,0.025574196266052705
4,0.026906894860470296,0.02604845790527965
5,0.026639864392793953,0.025511091924728294
6,0.026317095036129574,0.02541933662149422
7,0.026098977429695122,0.02576321771312957
8,0.02597268230222995,0.025370113724097317
9,0.02598311023460773,0.025560633656433903
10,0.025591690307035495,0.025665574026284572
11,0.02551415075321972,0.025983785758248605
12,0.025487087445904787,0.02557537405217065
13,0.025401620034715224,0.025499797874322116
14,0.02523798773382818,0.025656772503219457
15,0.02536757729440413,0.025440204542526972
16,0.025115031431401532,0.025850289938832833
17,0.02500562677110528,0.025846851800007568
18,0.02506634962417049,0.026087233844120566
19,0.024979983787898917,0.026488538386596303
20,0.024756719137022532,0.02605835734170073
21,0.02498084169957288,0.025984633096968558
22,0.024538891532682794,0.02567388757679702
23,0.024667365226416132,0.026066386401974184
24,0.02460743986644846,0.02619775501936791
25,0.024362626610244464,0.026313861500918165
26,0.02435008136799891,0.026536520469872486
27,0.024300633210192508,0.0265507165834121
28,0.02428279274143438,0.026441750123210036
