Feature,XGB_Gain,XGB_Weight,XGB_Cover,TreeSHAP,SHAP_SNR
pos18_C,0.6928714513778687,131.0,3298.656494140625,0.02407754398882389,0.8936246800802251
pos20_G,0.2754979431629181,93.0,2193.677490234375,0.009075053036212921,0.8232039913427451
pos18_A,0.25417137145996094,68.0,2602.191162109375,0.006891602650284767,0.8844107027614336
pos20_C,0.2460574060678482,87.0,2142.298828125,0.005912350956350565,0.8261559009070405
pos17_T,0.24195563793182373,51.0,1833.9019775390625,0.0017364280065521598,0.3992885683578459
pos18_G,0.23701514303684235,67.0,1500.13427734375,0.001739382278174162,0.7604350522423383
pos17_RRBS,0.2344084531068802,30.0,2060.36669921875,0.000496150110848248,0.18964133686450566
pos1_G,0.23102030158042908,101.0,2399.90087890625,0.008518412709236145,0.8297232303528126
pos14_G,0.22817334532737732,82.0,2313.9267578125,0.006334871985018253,0.8490544274842718
pos19_A,0.22234223783016205,85.0,2244.329345703125,0.006442377343773842,0.8327574413275957
pos19_T,0.22193275392055511,47.0,2346.36181640625,0.0018136156722903252,0.400139026471009
pos5_H3K4me3,0.21307988464832306,3.0,587.6666870117188,5.24421593581792e-05,0.3602554123559984
pos18_T,0.20590569078922272,29.0,1365.034423828125,0.0003777740348596126,0.40895131531568085
pos16_T,0.19686725735664368,81.0,1250.8765869140625,0.003627477213740349,0.7571437081349993
pos17_A,0.191791832447052,89.0,1384.03369140625,0.0025737532414495945,0.7269387428536477
pos16_G,0.19034771621227264,101.0,1898.227783203125,0.005779948551207781,0.8401656375981242
pos19_C,0.18539759516716003,80.0,1274.9625244140625,0.0027539939619600773,0.7631422403580254
pos20_T,0.1842682659626007,58.0,1865.2069091796875,0.0013913869624957442,0.35339707483279587
pos16_C,0.18122954666614532,113.0,1542.7965087890625,0.005111439153552055,0.7978072809222898
pos20_A,0.1797904521226883,80.0,1509.125,0.0014294200809672475,0.7181574387819829
pos15_T,0.17442519962787628,64.0,1332.34375,0.0022031711414456367,0.6996947532509731
pos14_T,0.17267009615898132,104.0,1917.875,0.006121489219367504,0.7733575693220014
pos11_A,0.16550937294960022,93.0,1848.0645751953125,0.0044497232884168625,0.7951107017709155
pos21_G,0.16438297927379608,74.0,2771.067626953125,0.004693975206464529,0.7183100808519985
pos15_A,0.16375981271266937,85.0,1966.1646728515625,0.004620558116585016,0.7863295443697689
pos2_T,0.1634901612997055,70.0,2052.471435546875,0.0035012520384043455,0.7329195327085305
pos12_A,0.1592695564031601,80.0,1665.2249755859375,0.0041506243869662285,0.8325642598459737
