epoch,train_loss,validation_loss
1,0.030738805309677094,0.02717966508169891
2,0.027505287499176103,0.026047687956402568
3,0.026816132782804102,0.026016035616053625
4,0.025637493615838447,0.0251532456463461
5,0.02528900913709409,0.025254118798144553
6,0.02480731124279131,0.025702745234338492
7,0.02430290317764002,0.02538569967540312
8,0.023836578442698382,0.024929700856525145
9,0.02355914799952397,0.02560528380374775
10,0.0231222394914039,0.025777594501425395
11,0.022749046333311297,0.02560074832844683
12,0.022171457232635042,0.02536654622952571
13,0.021843975713775672,0.02557850429188743
14,0.02128419963914053,0.026194474452372843
15,0.02097805835432796,0.026620985544450762
16,0.020672799577216256,0.027766723945713546
17,0.02019479114126477,0.028463240705223384
18,0.019716546562238597,0.027950826882090808
19,0.019426878088072506,0.026208006032978126
20,0.01915989252170814,0.0265500302125314
21,0.019109169733877038,0.02699534056967849
22,0.018935930655387727,0.03518391849608769
23,0.018218547897899184,0.02716614156976027
24,0.01820276768686008,0.027853707801156802
25,0.01772823014487889,0.027907085752285312
26,0.017555359827760082,0.03185216920740593
27,0.017308100577611403,0.026894341026029507
28,0.016729194692577973,0.026147581282098754
