Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,0.003815060065132202,0.00555329397150569,0.6869904753300512,0.4921117781702984,0.740270042038726
pos1_C,-0.010486699445941789,0.005429173015273234,-1.9315463729818205,0.053456351775337696,0.22648893501785766
pos1_G,0.017789525472334877,0.005380237026430915,3.3064575751852896,0.0009496565222979481,0.017093817401363065
pos1_CTCF,22239749165.819958,14203344089.196875,1.5658107714742762,0.11743870138138002,0.22648893501785766
pos1_Dnase,-83811994589.68814,53526260079.830055,-1.565810771473467,0.11743870138156964,0.22648893501785766
pos1_H3K4me3,-806504923.3061676,515071768.56805354,-1.5658107714742837,0.11743870138137824,0.22648893501785766
pos1_RRBS,0.022255309110679244,0.02324083395297846,0.9575951170989321,0.3383004543416419,0.5768913010878525
pos2_A,0.01338817424438869,0.005697274182375548,2.3499262657579045,0.01880510115373446,0.15232131934524912
pos2_C,0.012949806433052161,0.005690963841819045,2.2755031999839446,0.022906233603652737,0.16133955842572797
pos2_G,0.01814776948093764,0.005612069187155921,3.23370380437782,0.001227701828645511,0.01988876962405728
pos2_CTCF,881008641.6117092,562653328.0149829,1.565810771474276,0.11743870138138024,0.22648893501785766
pos2_Dnase,83811994589.77415,53526260079.82977,1.5658107714750822,0.1174387013811915,0.22648893501785766
pos2_H3K4me3,-505222560.1183836,322658758.8503398,-1.5658107714742782,0.11743870138137957,0.22648893501785766
pos2_RRBS,0.01247718907269217,0.02205319701397034,0.5657768832694904,0.5715638287068305,0.8194100907124473
pos3_A,-0.0026076304171995393,0.005349816775559258,-0.4874242477074261,0.6259731717144956,0.8895408229627043
pos3_C,-0.01368367986378321,0.00547140569126195,-2.5009441148984046,0.01240923155578555,0.13401970080248393
pos3_G,0.002361212177896942,0.005513288976557745,0.42827651297378194,0.6684631610599239,0.9255643768522023
pos3_CTCF,67372002.90165943,43026912.40157054,1.5658107714742797,0.11743870138137935,0.22648893501785766
pos3_Dnase,36291443129.36634,23177413127.145233,1.5658107714731133,0.11743870138165224,0.22648893501785766
pos3_H3K4me3,-137546449.7381337,87843596.58519147,-1.5658107714742755,0.11743870138138046,0.22648893501785766
pos3_RRBS,-0.004263745558362775,0.02387972671416258,-0.17855085233592868,0.8582956211882418,1.0
pos4_A,0.013774037702775625,0.005684800171606258,2.422958993628747,0.015420187760477377,0.1466291741163921
pos4_C,0.007292545320824684,0.00558158741790664,1.3065360756384488,0.19141378990231184,0.3523753859565286
pos4_G,0.013259811709896764,0.005533485101260426,2.396285788657211,0.016588585184462046,0.1466291741163921
pos4_CTCF,-55355760.82767768,35352778.1492767,-1.5658107714742704,0.11743870138138135,0.22648893501785766
pos4_Dnase,36232056890.57375,23139486297.24057,1.5658107714731118,0.11743870138165269,0.22648893501785766
pos4_H3K4me3,-164427495.71796387,105011089.91806759,-1.565810771474275,0.11743870138138024,0.22648893501785766
pos4_RRBS,-0.0009018872082227832,0.02528744594914978,-0.03566541318709598,0.97155017916624,1.0
pos5_A,0.008860585794679831,0.00556833146273202,1.591246112768674,0.11159992905026295,0.22648893501785766
pos5_C,0.021092228959025038,0.005573353334229265,3.784477260661936,0.00015533459057692767,0.005032840734692456
pos5_G,0.01236085405652171,0.005513542783283803,2.241907706601621,0.024998931221960508,0.16874278574823343
pos5_CTCF,113776907.7956727,72663255.27224907,1.5658107714742777,0.11743870138137957,0.22648893501785766
pos5_Dnase,-72523500020.02039,46316899424.385376,-1.5658107714748604,0.11743870138124324,0.22648893501785766
pos5_H3K4me3,230030202.44560423,146908047.0234736,1.5658107714742748,0.11743870138138046,0.22648893501785766
pos5_RRBS,0.0006064542275467929,0.02284083798056799,0.026551312524642847,0.9788183730215398,1.0
pos6_A,-0.005179195657941593,0.0054037438232020455,-0.9584458159736754,0.33787152458714464,0.5768913010878525
pos6_C,0.007752243837246584,0.0054373405269466995,1.4257418307401473,0.15398803507856096,0.2867363411807687
pos6_G,0.010286267465141892,0.005499451655024511,1.8704169270665307,0.06146817216284983,0.22648893501785766
pos6_CTCF,143561656.29093188,91685188.85316047,1.565810771474276,0.11743870138138024,0.22648893501785766
pos6_Dnase,68370939.39601915,43664879.95600967,1.5658107720644068,0.1174387012431839,0.22648893501785766
pos6_H3K4me3,-39739337.137304,25379399.51702324,-1.565810771474275,0.11743870138138024,0.22648893501785766
pos6_RRBS,-0.0031000058986613383,0.023755211777821857,-0.13049792726139953,0.8961762915131835,1.0
pos7_A,-0.003244332647747834,0.005696654073230152,-0.5695154745298081,0.5690248794667481,0.8194100907124473
pos7_C,0.005153068115300776,0.005553229952572688,0.9279407046548602,0.3534707299104223,0.5903325592318392
pos7_G,0.001315038571814219,0.005521800104078002,0.238153961937707,0.8117687423303557,1.0
pos7_CTCF,36869471.88014033,23546569.32486559,1.5658107714742766,0.11743870138138002,0.22648893501785766
pos7_Dnase,-2823977.717975897,1803524.2796834498,-1.5658107571867868,0.11743870472721119,0.22648893501785766
pos7_H3K4me3,20685112.184160724,13210480.194030697,1.5658107714742666,0.11743870138138246,0.22648893501785766
pos7_RRBS,-0.007943852319935142,0.02355464711007384,-0.33725202007113575,0.7359371656789682,0.9996110304525888
pos8_A,-0.003660118837069363,0.005613514189319896,-0.6520191654691094,0.514410488983926,0.7575863565036002
pos8_C,0.011231481395700965,0.005622884547562117,1.9974590089299515,0.045814471070707796,0.22648893501785766
pos8_G,0.0016489600679375435,0.005592906475767116,0.29483061715445086,0.7681321308871001,1.0
pos8_CTCF,-36533903.2846376,23332259.523441274,-1.565810771474276,0.11743870138138024,0.22648893501785766
pos8_Dnase,-65546961.60093802,41861355.67645299,-1.5658107708587228,0.11743870152552982,0.22648893501785766
pos8_H3K4me3,17584852.959421486,11230509.637422273,1.5658107714742782,0.11743870138137957,0.22648893501785766
pos8_RRBS,0.029066554041787433,0.023097567070041507,1.2584249221420358,0.20828062807352166,0.37911754772933154
pos9_A,-0.0017948584535227333,0.005332979833433359,-0.3365582675318703,0.7364601374582009,0.9996110304525888
