Feature,XGB_Gain,XGB_Weight,XGB_Cover,TreeSHAP,SHAP_SNR
pos20_G,0.10836322605609894,51.0,570.6666870117188,0.013248004950582981,0.8485668104865342
pos18_C,0.07322001457214355,52.0,485.9615478515625,0.010591809637844563,0.8524904017143736
pos17_T,0.06871633231639862,45.0,532.933349609375,0.007939360104501247,0.7573456052686768
pos19_G,0.06240738183259964,64.0,273.6875,0.008858146145939827,0.8415008419639503
pos7_CTCF,0.058692026883363724,1.0,167.0,0.00012000841525150463,0.6737892363453791
pos1_G,0.058198366314172745,58.0,449.53448486328125,0.009093554690480232,0.8752719164049522
pos19_T,0.05679804086685181,41.0,462.9024353027344,0.005435084458440542,0.767720831478539
pos7_T,0.054134584963321686,32.0,350.875,0.003821007441729307,0.7592252627265391
pos4_CTCF,0.05202477425336838,2.0,318.0,0.0003262162208557129,0.7051719982368331
pos20_T,0.05137192830443382,49.0,375.5306091308594,0.00630676094442606,0.7280051188685057
pos8_CTCF,0.04593979939818382,8.0,76.75,0.0006887248600833118,0.5944459539125144
pos4_G,0.044348713010549545,34.0,340.1176452636719,0.004228990059345961,0.8356373038151886
pos2_G,0.043450336903333664,43.0,85.13953399658203,0.0021986307110637426,0.8136585558709885
pos9_G,0.04315033555030823,54.0,148.98147583007812,0.0030971907544881105,0.7833203114922063
pos17_G,0.042222216725349426,50.0,179.89999389648438,0.003659106558188796,0.8756892625367222
pos16_CTCF,0.04195190221071243,4.0,167.75,0.0004376038268674165,0.8415433677760188
pos20_C,0.04174881428480148,50.0,220.5800018310547,0.002570761600509286,0.7860922516084646
pos14_G,0.04127666354179382,43.0,274.0,0.003524659899994731,0.8415666214511249
pos21_T,0.0412396676838398,54.0,188.75926208496094,0.004842801950871944,0.8235205241719711
pos11_A,0.04121778532862663,45.0,191.55555725097656,0.0030533960089087486,0.772675745316504
pos21_G,0.04006029665470123,43.0,98.97674560546875,0.0014326032251119614,0.612514338314984
pos9_CTCF,0.03887854143977165,3.0,140.3333282470703,0.00021374608331825584,0.6184646852425523
pos20_A,0.03846774995326996,37.0,174.32432556152344,0.0024601889308542013,0.7709397059917316
pos17_A,0.03845100477337837,32.0,244.40625,0.002642769366502762,0.7052554308886669
pos6_A,0.03834748640656471,38.0,363.5,0.004383874125778675,0.8082287685705235
pos1_A,0.03807314485311508,41.0,232.0731658935547,0.0029875654727220535,0.7499487719503346
pos6_CTCF,0.037844374775886536,1.0,146.0,0.00012978249287698418,0.4800735687909558
pos11_C,0.036310967057943344,35.0,123.82857513427734,0.0014517238596454263,0.7331955274838322
pos9_C,0.03602750971913338,36.0,174.44444274902344,0.001924528507515788,0.7652572581154675
pos14_A,0.03486238047480583,47.0,111.46808624267578,0.0010213956702500582,0.691846502835926
pos21_CTCF,0.03466736897826195,9.0,71.88888549804688,0.00040257273940369487,0.7756140057341119
pos15_G,0.03458467125892639,41.0,250.1219482421875,0.002832949860021472,0.8134449771288907
pos15_C,0.034344013780355453,52.0,135.84616088867188,0.0008392095332965255,0.6822703247220563
pos16_G,0.033945128321647644,55.0,207.07272338867188,0.003083478892222047,0.7957439120577119
pos2_C,0.03364981338381767,30.0,103.96666717529297,0.000857143837492913,0.7066430671972256
pos14_T,0.03356224671006203,33.0,298.9696960449219,0.0026958181988447905,0.7276393319977341
pos3_C,0.0332845076918602,38.0,221.1842041015625,0.0023302463814616203,0.7742276157299389
pos18_T,0.03326757624745369,32.0,127.84375,0.0011654281988739967,0.7166063999424763
pos23_CTCF,0.03325935825705528,1.0,239.0,0.00012674818572122604,0.6060653621602577
pos4_C,0.03315536677837372,46.0,165.8913116455078,0.0024564519990235567,0.7752518703595186
pos15_A,0.03296633064746857,50.0,269.1600036621094,0.003052897984161973,0.7141077720150973
pos13_T,0.03257114067673683,28.0,304.8571472167969,0.0020108383614569902,0.6939925761604698
pos3_G,0.0324949212372303,54.0,149.88888549804688,0.0026460285298526287,0.7953730009889072
pos17_C,0.03247950226068497,33.0,242.6666717529297,0.0024492277298122644,0.8154596627679014
pos12_A,0.03227132186293602,23.0,147.56521606445312,0.0010419527534395456,0.7522206764811558
pos10_T,0.032110974192619324,41.0,121.63414764404297,0.0014553316868841648,0.6850838935472943
pos19_A,0.03197619691491127,25.0,181.9600067138672,0.0005911228363402188,0.6140897968639711
pos8_A,0.03192810341715813,30.0,115.19999694824219,0.0005613482207991183,0.6542936301135475
pos18_A,0.03170987591147423,33.0,99.8787841796875,0.0007300308789126575,0.7023293420245581
pos19_C,0.03168761357665062,62.0,171.6774139404297,0.0020000983495265245,0.7649261473317134
pos9_A,0.03146180137991905,37.0,101.24324035644531,0.0005304622463881969,0.6838373519867432
pos12_G,0.03135443478822708,36.0,115.61111450195312,0.0005497021484188735,0.5824359118023543
pos10_A,0.031102774664759636,50.0,128.52000427246094,0.0027539546135812998,0.7611006041777204
pos6_G,0.031066931784152985,51.0,175.21568298339844,0.0021537395659834146,0.7280114014533732
pos7_C,0.030822640284895897,42.0,205.2142791748047,0.001765291322953999,0.7601013930623844
pos5_T,0.030740994960069656,43.0,151.88372802734375,0.0013932955916970968,0.7886022326461025
pos16_A,0.030568348243832588,28.0,121.78571319580078,0.0007628366001881659,0.7014608094643283
pos7_A,0.030467504635453224,49.0,196.93878173828125,0.0016920843627303839,0.677342014784556
