cell_line,environment,n_positions,peak_linear,peak_xgboost,peak_mlp,peak_cnn,peak_transformer,mean_pairwise_spearman,mean_top3_overlap
hct116,all,23,19,18,18,18,1,0.3266784560812086,0.4666666666666666
hct116,sequence,23,18,18,18,21,1,0.43156337090523333,0.4666666666666667
hek293t,all,23,22,20,20,17,19,0.40942143784249396,0.3666666666666666
hek293t,sequence,23,22,20,20,18,20,0.27696681585523253,0.3
hela,all,23,18,18,18,18,2,0.6106422273544795,0.36666666666666664
hela,sequence,23,19,18,18,20,19,0.4057762767194356,0.4333333333333333
hl60,all,23,23,20,20,20,1,0.3178791545816201,0.5333333333333333
hl60,sequence,23,22,20,20,20,19,0.3673827879855563,0.4333333333333333
