factor,n_models,mean_dR2,min,max,n_negative,n_positive,model_cnn(3|3),model_cnn(5|3),model_cnn(7|3),model_linear,model_mlp,model_transformer,model_xgboost
ctcf,7,-0.0009495555555555558,-0.028074,0.007212222222222221,1,6,0.0029515555555555554,0.004033888888888889,0.007212222222222221,-0.028074,0.0012093333333333335,0.0008834444444444448,0.005136666666666667
dnase,7,-0.0020244761904761903,-0.007686333333333332,0.0014874444444444444,5,2,-5.344444444444458e-05,0.00019655555555555583,0.0014874444444444444,-2.5e-05,-0.007614,-0.007686333333333332,-0.0004765555555555555
h3k4me3,7,-0.005942825396825397,-0.024565,0.0016497777777777782,6,1,0.0016497777777777782,-0.004756222222222222,-0.0018325555555555556,-0.024565,-0.0030866666666666664,-0.008737333333333333,-0.00027177777777777774
rrbs,7,-0.009317428571428572,-0.052906,0.0009557777777777776,6,1,0.0009557777777777776,-0.0019894444444444447,-6.511111111111089e-05,-0.052906,-0.0033934444444444446,-0.0030304444444444445,-0.0047933333333333335
