factor,estimate,ci_low,ci_high,n_models,status
ctcf,-0.0009495555555555558,-0.010487056349206351,0.004793232936507937,7,ok
dnase,-0.0020244761904761903,-0.004515474206349207,0.0003018380952380942,7,ok
h3k4me3,-0.005942825396825397,-0.01266167777777778,-0.0011157972222222237,7,ok
rrbs,-0.009317428571428572,-0.02428705833333334,-0.001024634920634921,7,ok
