comparison,n_pairs,mean_dR2,ci_low,ci_high,pct_positive,excludes_zero
k5 - k3,192,0.0423384312529655,0.037538632887247125,0.047012890299808936,0.8854166666666666,True
k7 - k3,192,0.05570036925661679,0.05136334890720793,0.05998286343402021,0.9583333333333334,True
k7 - k5,192,0.013361938003651291,0.010684007672456931,0.016166420558840332,0.7708333333333334,True
