factor,n_edges,n_excl0,mean_estimate,n_seeds_total
ctcf,474,30,0.0020135735011117704,634
dnase,470,48,-0.002266831945649379,624
h3k4me3,480,38,-0.003180507790967708,641
rrbs,482,50,-0.0037741781390230973,642
