Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
C_pos_17,17,C,0.013294407166540623,0.03550489991903305,1.0738811492919922
T_pos_19,19,T,0.009387275204062462,0.03479325398802757,1.184497356414795
T_pos_18,18,T,0.008904576301574707,0.028541067615151405,1.0851582288742065
A_pos_17,17,A,0.008299552835524082,0.027806047350168228,1.1886990070343018
T_pos_21,21,T,0.0,0.027688520029187202,1.2994418144226074
T_pos_4,4,T,0.006347354501485825,0.027127942070364952,1.2392897605895996
C_pos_19,19,C,0.008182615973055363,0.02652367576956749,1.3533235788345337
T_pos_3,3,T,0.005536949727684259,0.025976281613111496,1.248685359954834
T_pos_16,16,T,0.006015446502715349,0.025366008281707764,1.1069910526275635
T_pos_5,5,T,0.007071644999086857,0.02534373477101326,1.2272396087646484
G_pos_15,15,G,0.006191718392074108,0.02457335963845253,1.0919198989868164
Dnase_pos_12,12,Dnase,0.0038670827634632587,0.02449122816324234,2.4261252880096436
Dnase_pos_13,13,Dnase,0.0038676096592098475,0.02449103631079197,2.4260451793670654
Dnase_pos_11,11,Dnase,0.003866877406835556,0.024483969435095787,2.423177719116211
Dnase_pos_14,14,Dnase,0.0038668669294565916,0.024483734741806984,2.425957679748535
Dnase_pos_15,15,Dnase,0.0038687933702021837,0.02448277920484543,2.4249889850616455
Dnase_pos_10,10,Dnase,0.003865849692374468,0.02448251098394394,2.4223458766937256
Dnase_pos_16,16,Dnase,0.003866213606670499,0.024473046883940697,2.4231314659118652
Dnase_pos_9,9,Dnase,0.0038657570257782936,0.024472419172525406,2.4177119731903076
Dnase_pos_6,6,Dnase,0.0038645013701170683,0.024470556527376175,2.416597366333008
Dnase_pos_17,17,Dnase,0.0038692322559654713,0.024470515549182892,2.4218342304229736
Dnase_pos_18,18,Dnase,0.0038644843734800816,0.024470433592796326,2.421783924102783
Dnase_pos_8,8,Dnase,0.003864842699840665,0.024470116943120956,2.416303873062134
Dnase_pos_7,7,Dnase,0.0038645013701170683,0.024469831958413124,2.416121006011963
Dnase_pos_4,4,Dnase,0.0038659449201077223,0.02446710877120495,2.416337728500366
Dnase_pos_5,5,Dnase,0.0038637728430330753,0.024465538561344147,2.415584087371826
T_pos_17,17,T,0.007343403063714504,0.024133987724781036,1.0198131799697876
T_pos_9,9,T,0.004626502748578787,0.023806914687156677,1.1405060291290283
G_pos_13,13,G,0.005086166318506002,0.023670699447393417,1.0824694633483887
T_pos_11,11,T,0.0062216357327997684,0.023654798045754433,1.210343837738037
A_pos_19,19,A,0.0052775051444768906,0.023646874353289604,1.1595876216888428
A_pos_18,18,A,0.005443393252789974,0.023344596847891808,1.1512057781219482
G_pos_17,17,G,0.004994586110115051,0.022766754031181335,1.0551203489303589
T_pos_7,7,T,0.004801190458238125,0.02274758741259575,1.1587328910827637
T_pos_6,6,T,0.004480460658669472,0.022523557767271996,1.1362626552581787
T_pos_8,8,T,0.005508390720933676,0.02207718789577484,1.12742280960083
A_pos_21,21,A,0.0,0.02196650765836239,1.1796458959579468
T_pos_10,10,T,0.005181535612791777,0.021956095471978188,1.1235462427139282
T_pos_12,12,T,0.004153948277235031,0.02151060663163662,1.090983510017395
C_pos_0,0,C,0.0022677574306726456,0.02116331458091736,1.2956773042678833
T_pos_20,20,T,0.007460270542651415,0.02105494774878025,1.1345208883285522
A_pos_20,20,A,0.005489317700266838,0.020869459956884384,1.1365967988967896
G_pos_14,14,G,0.00540131377056241,0.020444048568606377,1.0508204698562622
C_pos_2,2,C,0.0031972655560821295,0.020258454605937004,1.1938083171844482
A_pos_2,2,A,0.004900699947029352,0.020063336938619614,1.1271390914916992
T_pos_14,14,T,0.005251193884760141,0.020045848563313484,1.111107587814331
G_pos_19,19,G,0.0053989458829164505,0.01995908096432686,1.0546774864196777
G_pos_4,4,G,0.005078752990812063,0.019582482054829597,1.07563054561615
C_pos_21,21,C,0.0,0.019251704216003418,1.0532058477401733
G_pos_12,12,G,0.005692084785550833,0.019012203440070152,1.0414977073669434
G_pos_21,21,G,0.025886034592986107,0.01883724331855774,1.1721739768981934
T_pos_1,1,T,0.004671439994126558,0.018826207146048546,1.0571088790893555
A_pos_16,16,A,0.004566246178001165,0.01879318617284298,1.0444740056991577
G_pos_11,11,G,0.004422385711222887,0.0187283456325531,1.0290076732635498
A_pos_15,15,A,0.00447095138952136,0.018696067854762077,1.0428259372711182
T_pos_15,15,T,0.004058527760207653,0.018683025613427162,1.059228539466858
C_pos_14,14,C,0.004455776885151863,0.018570538610219955,1.0768176317214966
G_pos_0,0,G,0.013707510195672512,0.018503185361623764,1.1784415245056152
Dnase_pos_20,20,Dnase,0.0035148896276950836,0.018259238451719284,2.5402638912200928
A_pos_7,7,A,0.005216237157583237,0.018164856359362602,1.053287386894226
A_pos_4,4,A,0.0048208958469331264,0.018162503838539124,1.1148160696029663
G_pos_9,9,G,0.005375449080020189,0.0181175097823143,1.0571379661560059
C_pos_8,8,C,0.004295846447348595,0.018110550940036774,1.0647979974746704
C_pos_13,13,C,0.0039551230147480965,0.018105553463101387,1.1242600679397583
T_pos_13,13,T,0.004639734979718924,0.01809791661798954,1.0457059144973755
C_pos_18,18,C,0.005434936843812466,0.018018078058958054,1.1211282014846802
C_pos_16,16,C,0.004524229094386101,0.01791410706937313,1.0207427740097046
G_pos_10,10,G,0.005984206683933735,0.017897415906190872,1.0470962524414062
G_pos_16,16,G,0.008123575709760189,0.017842691391706467,1.0288783311843872
A_pos_13,13,A,0.005095853004604578,0.017838342115283012,1.0147958993911743
A_pos_12,12,A,0.004523382522165775,0.017816010862588882,1.0605952739715576
C_pos_10,10,C,0.003883200930431485,0.01773298718035221,1.0490539073944092
A_pos_3,3,A,0.003590377513319254,0.017730562016367912,1.0594279766082764
C_pos_11,11,C,0.004214066080749035,0.017723720520734787,1.097402811050415
C_pos_12,12,C,0.004399411845952272,0.01767236366868019,1.1112323999404907
A_pos_6,6,A,0.0036367287393659353,0.017609266564249992,1.0661166906356812
C_pos_3,3,C,0.0035590599291026592,0.017594480887055397,1.1805694103240967
Dnase_pos_19,19,Dnase,0.0027508612256497145,0.017577797174453735,2.4660861492156982
Dnase_pos_3,3,Dnase,0.002630374627187848,0.017572326585650444,2.459927558898926
C_pos_15,15,C,0.005877078045159578,0.017566081136465073,0.9898859858512878
A_pos_5,5,A,0.005531023256480694,0.01751759462058544,1.0924429893493652
G_pos_18,18,G,0.005009625572711229,0.017497660592198372,1.0719369649887085
A_pos_14,14,A,0.004568159580230713,0.017438681796193123,1.0244394540786743
A_pos_11,11,A,0.005623327102512121,0.017410842701792717,1.0426177978515625
A_pos_10,10,A,0.005064060911536217,0.01740337163209915,1.0527430772781372
G_pos_8,8,G,0.005572573281824589,0.01739078015089035,1.022850513458252
C_pos_9,9,C,0.005001956131309271,0.01730848290026188,1.0711363554000854
C_pos_4,4,C,0.003268675645813346,0.017228828743100166,1.0984256267547607
A_pos_8,8,A,0.004252467770129442,0.01716098003089428,1.054403305053711
C_pos_6,6,C,0.004608738701790571,0.017149532213807106,1.0758392810821533
Dnase_pos_2,2,Dnase,0.004227847792208195,0.017037000507116318,2.3651859760284424
C_pos_7,7,C,0.004272447433322668,0.016998298466205597,1.0526251792907715
A_pos_9,9,A,0.004412166308611631,0.01696033589541912,1.0181143283843994
G_pos_7,7,G,0.005885340739041567,0.016734590753912926,1.0573396682739258
G_pos_6,6,G,0.005934080574661493,0.016625793650746346,1.0323636531829834
G_pos_3,3,G,0.005261323880404234,0.015855051577091217,1.099499225616455
C_pos_5,5,C,0.004335848148912191,0.015798041597008705,1.0709480047225952
A_pos_22,22,A,0.0,0.015764720737934113,1.056314468383789
T_pos_2,2,T,0.00347047857940197,0.015587806701660156,1.0967495441436768
G_pos_5,5,G,0.005266034509986639,0.01541550550609827,1.0398508310317993
G_pos_2,2,G,0.004190221894532442,0.015339763835072517,1.1157524585723877
C_pos_20,20,C,0.002867880044505,0.014846540056169033,1.0310187339782715
C_pos_1,1,C,0.004788317251950502,0.01420719176530838,1.1142115592956543
G_pos_20,20,G,0.0030379807576537132,0.013950858265161514,1.1040406227111816
C_pos_22,22,C,0.0,0.013711115345358849,1.1623677015304565
G_pos_22,22,G,0.016984768211841583,0.013081076554954052,0.9786922335624695
G_pos_1,1,G,0.00444316491484642,0.012659117579460144,1.0451958179473877
A_pos_1,1,A,0.003324134973809123,0.012487873435020447,1.0057940483093262
A_pos_0,0,A,0.0026965090073645115,0.01189340092241764,1.05384361743927
T_pos_22,22,T,0.0,0.011721099726855755,1.0826005935668945
T_pos_0,0,T,0.0024865728337317705,0.011635620146989822,1.0555083751678467
Dnase_pos_0,0,Dnase,0.007910504005849361,0.005468720570206642,1.4467164278030396
Dnase_pos_22,22,Dnase,0.01821848750114441,0.005097679328173399,1.6957021951675415
Dnase_pos_21,21,Dnase,0.0070377434603869915,0.003526858752593398,1.9582726955413818
Dnase_pos_1,1,Dnase,0.007395583670586348,0.0018787996377795935,1.4054845571517944
