iteration,train_rmse,validation_rmse
0,0.11065748691981399,0.12246434294138644
1,0.10964614346446543,0.12199374438771006
2,0.10869590381735907,0.12147517283052589
3,0.10780468983921267,0.12079198946293015
4,0.10709863344608095,0.12057867424302943
5,0.10627627929825043,0.1202613022241174
6,0.10539082243885946,0.11975715389433478
7,0.10461676672647564,0.11928317315611955
8,0.10389584503761431,0.1189158128594703
9,0.10324268018953844,0.11866758585533009
10,0.10249240936121563,0.11824288165452329
11,0.10179423323697455,0.11791783023221164
12,0.10112688752824099,0.11765959487219407
13,0.10043841314200788,0.11734703293375776
14,0.09978075753645485,0.11717765823234444
15,0.09920272622101899,0.11693814471955404
16,0.09860015099694686,0.11673371743265235
17,0.09798501788074152,0.11642034056595861
18,0.09743790135144134,0.11623830535016713
19,0.09677594315892722,0.1160429110972789
20,0.0962265595475456,0.11571879198373607
21,0.09566617709063306,0.11549965443542211
22,0.09514199398579881,0.11533491732229793
23,0.09463052767964596,0.11514050013664777
24,0.09410655698302108,0.11499648044630612
25,0.09354003942283592,0.11476045630546655
26,0.09309966486234525,0.11464802116727803
27,0.09264641192524999,0.11459512136190177
28,0.09216977496160036,0.11451363227268889
29,0.09166572545224819,0.11439707316833488
30,0.09119256128141548,0.11425992421401239
31,0.09073857054693611,0.11411847797334398
32,0.09026367482733504,0.11419629812155951
33,0.0898352286479429,0.11411821277696507
34,0.08930348190675688,0.11403389613941234
35,0.08895111299769771,0.11392791173756818
36,0.08855984001731892,0.11387947031097856
37,0.08811411264250302,0.11389394440521051
38,0.08767395212771188,0.11386619925134121
39,0.08720535260031548,0.11384703400561513
40,0.08685672158588528,0.11368518045849717
41,0.08646658577806221,0.11354705067475893
42,0.0859752289147355,0.11345543673861873
43,0.08553044292168846,0.11331605569567224
44,0.08514096605423842,0.11324468395213785
45,0.08469122227017434,0.11316274973880772
46,0.08429986427056162,0.11304151251300891
47,0.08396827162313669,0.11315865023508266
48,0.08352385330050902,0.11311433271309364
49,0.08313678569699096,0.1129844591507705
50,0.08278282998771154,0.11288240919889654
51,0.08253463170856723,0.11285053275090894
52,0.08207113627220167,0.11264371024839398
53,0.08173573146767861,0.11265800658014125
54,0.08146688942234179,0.11260693369494748
55,0.08103773961859956,0.11262239625714647
56,0.08067644780114287,0.1126948063682888
57,0.0803268928214344,0.11269125040513898
58,0.08005320994890683,0.11262056368034044
59,0.07967979474520367,0.11259187419333487
60,0.07926744817252282,0.11257474917615307
61,0.07901305403309303,0.11252338135127246
62,0.07885589417277084,0.11247556725212547
63,0.07866369159416703,0.11246061827799997
64,0.07830081558097603,0.1124000049577704
65,0.07798015737594606,0.11237535544324541
66,0.0776276456513757,0.11233407066424715
67,0.07737715749630016,0.11223867591182445
68,0.07717525608316664,0.11228244734493245
69,0.07677237625233622,0.11226388205566853
70,0.07643973679517786,0.1123040197129043
71,0.07613795131668684,0.11229641205156927
72,0.07600384016686705,0.11229331669389474
73,0.07569225110873057,0.11237512373425147
74,0.07536554659213256,0.11231803884583966
75,0.0752179121215172,0.11227328470097755
76,0.0749309574496525,0.11231100332741865
77,0.07464556785549228,0.11233425938019267
78,0.07430362845623316,0.1122506882611984
79,0.0742315283853527,0.11225562470406537
80,0.07389878500394118,0.11226850875023613
81,0.07372430905710657,0.11214885677041773
82,0.07345795126177805,0.11214719195689693
83,0.07320214246624113,0.11214015514812474
84,0.07294386117474894,0.11215608993923465
85,0.0727906343091346,0.11206651958620477
86,0.07250090200627007,0.11210132203062947
87,0.07224670086506053,0.11219068766332059
88,0.07199917742106662,0.11217183121413281
89,0.07166228047027037,0.11225303953252139
90,0.07134526773010569,0.11223920946657366
91,0.07106408096681158,0.112223030565314
92,0.07077257003650622,0.11216226417741597
93,0.07060038110173802,0.11218310158101732
94,0.07042700227765607,0.11220610641345433
95,0.07010391767566086,0.1123204150968449
96,0.06979261405840004,0.1123291573914125
97,0.06968850611967098,0.11234721655789284
98,0.06943413468514775,0.11227186649800419
99,0.06919804220432368,0.1122989084216377
100,0.06893523084414985,0.11228478578370943
101,0.06870179729417089,0.11227649751119137
102,0.06837040734505502,0.11237557873101965
103,0.0680445111786059,0.11230251360210906
104,0.0679074005886294,0.11232730693370238
105,0.06759192437585367,0.1124276481122315
106,0.06724814453076766,0.11241394168445876
107,0.06699821781642702,0.11242582009963752
108,0.06690780987568148,0.112424751099042
109,0.06659243300736141,0.11234845330146445
110,0.06646109789041502,0.11235401494227132
111,0.06625610322682764,0.11231610822807851
112,0.0659963181893728,0.11242690889687547
113,0.06571598141106545,0.11245054472842392
114,0.06554629296079513,0.11244688803213035
115,0.06527146710531956,0.11250832434764703
