epoch,train_loss,validation_loss
1,0.03093852984819917,0.027878832411501676
2,0.026417964759016657,0.026779695633318154
3,0.026508401738625755,0.026053304868119378
4,0.02565360557903405,0.025647843731266835
5,0.025164014735226798,0.025836130342776736
6,0.02521842407568274,0.025497024650535275
7,0.02472143352651969,0.025446370219992052
8,0.024458208265120553,0.02585627699210759
9,0.02396381611259013,0.025715809486686222
10,0.024086724052730456,0.02555102317503864
11,0.023385351441303746,0.026035597501322626
12,0.023099673612969662,0.025837500633731966
13,0.023587094637690723,0.025804620545597807
14,0.02277311832500018,0.02580744610318253
15,0.02237645783222915,0.025783087168970417
16,0.022345465354330962,0.026327145934825942
17,0.022197471834494695,0.026622319236517915
18,0.0222039919870016,0.026262282345804477
19,0.021629579722595126,0.026393471009308292
20,0.02155994243790052,0.026192337100303942
21,0.02131555314086283,0.026283020099564906
22,0.021043307852097345,0.026757609892276026
23,0.02114707888341407,0.02653183170684403
24,0.020575960480739574,0.02829861740070966
25,0.020074935891952375,0.027691992870982614
26,0.02021302361433359,0.026800715286404857
27,0.020217668713277515,0.02723521032641011
