epoch,train_loss,validation_loss
1,0.028487593335593305,0.026288665728943963
2,0.026819105281219405,0.02591939190582883
3,0.026119043960141725,0.025864601787179708
4,0.02542045443700064,0.027959573464167695
5,0.025110592889541917,0.02530886410705505
6,0.02478420822018728,0.026126273724460795
7,0.02408552371464456,0.02514666243486347
8,0.023535862157695014,0.025752460145421565
9,0.02379422253693289,0.02550735198442013
10,0.023241430438558117,0.026477676137320456
11,0.022567451179482913,0.025236350589341695
12,0.022802604029895868,0.02638488472589562
13,0.022330168268534137,0.025453906554368234
14,0.021985924630233702,0.02570074611914254
15,0.02181736975865723,0.026222272220277978
16,0.021411195528238277,0.025583250150685348
17,0.020762753819584777,0.026559638520402294
18,0.02083930695849956,0.028294122922084025
19,0.020584963528591276,0.027909227833151817
20,0.020060640120487562,0.027377116565983142
21,0.020094227584114284,0.028784672882888586
22,0.01933881692539389,0.02737299274773367
23,0.019230737024924848,0.028836063331653995
24,0.018633509512528443,0.029011371037772585
25,0.018716515361194556,0.02691860742145969
26,0.017894096490339895,0.028300812335744982
27,0.018061679058754665,0.031722006063547824
