Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
C_pos_0,0,C,0.008926378563046455,0.01967369206249714,1.388128399848938
A_pos_20,20,A,0.00684569776058197,0.018831385299563408,1.2868592739105225
A_pos_17,17,A,0.007658837828785181,0.017398755997419357,1.1822222471237183
T_pos_1,1,T,0.004332155920565128,0.017174670472741127,1.2559757232666016
A_pos_18,18,A,0.006119701080024242,0.016911709681153297,1.0854123830795288
T_pos_19,19,T,0.0,0.01637735217809677,1.036852478981018
C_pos_19,19,C,0.011827572248876095,0.015134532004594803,1.023744821548462
T_pos_0,0,T,0.006111052818596363,0.015084589831531048,1.124173879623413
A_pos_21,21,A,0.0,0.013925914652645588,1.1444156169891357
T_pos_18,18,T,0.0,0.013914556242525578,1.0260682106018066
C_pos_2,2,C,0.00692382687702775,0.013161865994334221,0.967616081237793
A_pos_19,19,A,0.004678295459598303,0.013001697137951851,1.0745505094528198
A_pos_15,15,A,0.003139317501336336,0.012701357714831829,0.9854207038879395
A_pos_0,0,A,0.004136569797992706,0.012661649845540524,1.0133100748062134
G_pos_22,22,G,0.004070194438099861,0.012620205990970135,1.0665993690490723
T_pos_11,11,T,0.004772196989506483,0.012409514747560024,1.0248461961746216
T_pos_8,8,T,0.005033847410231829,0.012322627939283848,1.0136784315109253
T_pos_7,7,T,0.004295296035706997,0.012276528403162956,1.028255820274353
T_pos_5,5,T,0.0048413360491395,0.0121995834633708,1.0165830850601196
T_pos_17,17,T,0.0,0.012179655954241753,0.9598437547683716
T_pos_9,9,T,0.004305073991417885,0.012179230339825153,1.043058156967163
T_pos_10,10,T,0.003990076016634703,0.012060028500854969,1.0206129550933838
T_pos_20,20,T,0.007118551526218653,0.012055953033268452,0.9293603301048279
A_pos_16,16,A,0.00404615281149745,0.012024402618408203,0.98567134141922
T_pos_4,4,T,0.0040177409537136555,0.011976081877946854,1.039357304573059
T_pos_6,6,T,0.00414711469784379,0.011938345618546009,1.0491169691085815
C_pos_21,21,C,0.0,0.011906874366104603,0.921362578868866
