epoch,train_loss,validation_loss
1,0.03552084129474394,0.030082054245542354
2,0.03067006910787117,0.02778088539604127
3,0.02838854772362587,0.026913749969263715
4,0.02788291490985698,0.026101390853172212
5,0.02640849887079627,0.02835696816268399
6,0.025697025598461095,0.026123737505688444
7,0.02541356275204539,0.02613337426556377
8,0.023655286585947254,0.02578204923610049
9,0.02265721856744463,0.0253965060277952
10,0.021986065618191768,0.026037741264724357
11,0.020704172190148234,0.027277860239030807
12,0.02026738497526498,0.03049378598651548
13,0.020300421211115433,0.027031814711769735
14,0.01827911723334834,0.02931449438525936
15,0.01688465640711977,0.03295682919189686
16,0.01729737659991591,0.028854695675293293
17,0.01591805246159073,0.029820184746947816
18,0.01588745072805335,0.029760788190435237
19,0.013384407484085573,0.03000267506173746
20,0.01311685962758135,0.028889240928756908
21,0.014156953459279234,0.0364963938166776
22,0.012794809646884385,0.03298779337659596
23,0.012468531285977427,0.029358183768555875
24,0.011565084201396717,0.029599015021652686
25,0.011600753146843768,0.02885500430826127
26,0.009102198312867363,0.029571900314350766
27,0.009031588241779258,0.029476261725575905
28,0.009656922419798984,0.029001155815373256
29,0.008652751200965472,0.04733632158810698
