epoch,train_loss,validation_loss
1,0.030499929295211226,0.028807189557547973
2,0.0281571908169052,0.02847134076870044
3,0.027495128911693208,0.02792064781144793
4,0.026634276315326628,0.028050854972547494
5,0.026165076052458543,0.028569382352094965
6,0.025805349267270693,0.028632973800502778
7,0.025318637890696605,0.027355993284152825
8,0.02482588937108076,0.027735102127586498
9,0.024443556743028113,0.02740774291745589
10,0.024032709357506232,0.027236198432136868
11,0.02340683545065596,0.02882885952690601
12,0.02339082646533795,0.02811428109373069
13,0.02280259896715708,0.028054434925399562
14,0.022333452124824803,0.029787367538694712
15,0.022094182083624486,0.028645839531925548
16,0.021622991223851244,0.029405978442683528
17,0.021225295883904354,0.027857991669937108
18,0.020602005276480165,0.02940000328836044
19,0.020663395600721227,0.029075341150914435
20,0.019977079850610858,0.02929095108290386
21,0.019767840914407055,0.02948815551776463
22,0.019143071369381683,0.029439185912169565
23,0.019060133200528795,0.029966868436320158
24,0.018943152620584863,0.029978150247927663
25,0.018160660698066548,0.030117438668138045
26,0.0176643738303021,0.03100306473242942
27,0.018118379643347428,0.031205183271683364
28,0.01704465105514261,0.03298817452960132
29,0.016754741296002715,0.030372009352735718
30,0.01694334173676549,0.030251655478817766
