Feature,XGB_Gain,XGB_Weight,XGB_Cover,TreeSHAP,SHAP_SNR
pos18_C,0.972674548625946,112.0,4288.09814453125,0.02383863367140293,0.9077502423959007
pos20_G,0.41437336802482605,115.0,2179.026123046875,0.013246397487819195,0.8701771590948563
pos19_A,0.36421388387680054,82.0,2175.170654296875,0.006820579059422016,0.7740935328453148
pos18_A,0.33002883195877075,96.0,2335.46875,0.008566536009311676,0.9095996266592057
pos11_H3K4me3,0.3065536320209503,1.0,281.0,4.424336293595843e-05,0.256029323510039
pos18_G,0.302682489156723,71.0,1108.3662109375,0.0018109878292307258,0.7234382815699267
pos16_G,0.2786318361759186,98.0,2475.673583984375,0.008515417575836182,0.8269453273560773
pos20_C,0.27682632207870483,91.0,1977.75830078125,0.004487106576561928,0.8173104463147267
pos1_G,0.26379474997520447,119.0,1859.43701171875,0.009877004660665989,0.8379679199025918
pos21_G,0.25861191749572754,101.0,2532.693115234375,0.008975865319371223,0.7155310145758488
pos18_T,0.2559758722782135,10.0,648.5,0.0009583946666680276,0.607649878092839
pos20_T,0.23822854459285736,32.0,4879.75,0.006096268072724342,0.5078452479309312
pos14_T,0.23098187148571014,87.0,1980.862060546875,0.006132789887487888,0.7523567155174895
pos14_G,0.22897687554359436,95.0,2280.30517578125,0.007001373916864395,0.8431885959139812
pos15_A,0.21518239378929138,110.0,1928.4727783203125,0.006603174842894077,0.7796229802580047
pos17_T,0.2117590606212616,38.0,6196.23681640625,0.007611805573105812,0.5469208810257068
pos19_C,0.20736634731292725,89.0,1198.528076171875,0.0031536060851067305,0.7926983286692144
pos17_G,0.1988561749458313,105.0,1091.4476318359375,0.00271443254314363,0.7869231189073976
pos20_A,0.19694268703460693,80.0,1472.800048828125,0.00242219096980989,0.826901678339328
pos22_RRBS,0.19607488811016083,26.0,831.1538696289062,0.00022849475499242544,0.2425061884069534
pos5_H3K4me3,0.19595201313495636,3.0,1162.0,0.00021488954371307045,0.5217240984834026
pos12_A,0.19472460448741913,76.0,2530.03955078125,0.005815474782139063,0.8409401833822786
pos17_A,0.19471608102321625,74.0,1290.810791015625,0.001614534412510693,0.7750758320407983
pos10_T,0.18687239289283752,69.0,1116.6666259765625,0.002370677888393402,0.736688025504115
pos10_A,0.18613652884960175,86.0,2688.779052734375,0.0066235861741006374,0.7933280220913266
pos2_T,0.18487019836902618,61.0,1884.8197021484375,0.004102231934666634,0.7418056960093939
pos19_G,0.18180537223815918,68.0,1971.691162109375,0.0052226027473807335,0.8086776430097985
pos11_A,0.18112008273601532,88.0,2288.511474609375,0.005947896745055914,0.8021750586685288
pos13_C,0.1804226189851761,56.0,1469.6785888671875,0.0022384203039109707,0.7674656156489019
pos7_A,0.1794874519109726,63.0,983.5714111328125,0.0016432858537882566,0.725539212629675
pos15_G,0.17638558149337769,63.0,1394.825439453125,0.0021920849103480577,0.7298073501747171
pos16_T,0.17618241906166077,65.0,1017.5230712890625,0.0010959065984934568,0.6146923745182347
pos6_T,0.17541925609111786,53.0,2025.9056396484375,0.003002004697918892,0.7923293907255957
pos16_C,0.17444731295108795,96.0,1781.9791259765625,0.00395981827750802,0.8201119636742764
pos14_RRBS,0.17387542128562927,23.0,2481.739013671875,0.00033364497357979417,0.17548733895972177
pos13_G,0.17297203838825226,58.0,959.7069091796875,0.0011183617170900106,0.6624337047202972
pos21_A,0.17199142277240753,52.0,753.3076782226562,0.0010976975318044424,0.7340237925870291
pos15_T,0.17117151618003845,59.0,1234.9490966796875,0.0023964515421539545,0.7438813624447197
pos1_C,0.16906490921974182,80.0,2505.949951171875,0.0053651886992156506,0.8578981861453319
pos4_T,0.1685684621334076,75.0,1596.199951171875,0.0028359759598970413,0.7646338157211227
pos4_A,0.16703100502490997,63.0,1447.047607421875,0.0019897513557225466,0.7054180692596069
pos12_T,0.16693401336669922,57.0,1314.5087890625,0.0013685604790225625,0.6945651037544665
pos7_H3K4me3,0.16684900224208832,3.0,751.6666870117188,0.00013046928506810218,0.3603797438658739
pos9_H3K4me3,0.16610457003116608,5.0,2318.199951171875,0.0006676987977698445,0.49687123388831256
pos15_C,0.16239526867866516,80.0,1519.4375,0.0028536042664200068,0.7619981185725231
pos3_C,0.1607290506362915,90.0,1584.9888916015625,0.0037013706751167774,0.8025339190257048
pos9_A,0.16051198542118073,77.0,1563.922119140625,0.003174555255100131,0.7576683108980339
pos4_C,0.15935252606868744,55.0,1526.30908203125,0.0020118984393775463,0.7688209719752989
pos19_T,0.1577978879213333,28.0,4613.35693359375,0.00444425456225872,0.5392007301407721
pos4_G,0.15763939917087555,71.0,1445.7606201171875,0.001978714484721422,0.7821979276083141
pos9_T,0.156777486205101,51.0,1110.549072265625,0.0017112051136791706,0.7335237675954492
pos21_H3K4me3,0.1561649590730667,6.0,2672.166748046875,0.0006543845520354807,0.4942025851098513
pos3_H3K4me3,0.1556703895330429,3.0,3510.0,0.0003992601705249399,0.4076343722349033
pos14_C,0.15490342676639557,68.0,1017.2794189453125,0.0013678024988621473,0.7373727791138346
pos5_T,0.15460392832756042,60.0,722.6666870117188,0.0007027769461274147,0.6344769129609021
pos15_H3K4me3,0.1536029428243637,4.0,1976.5,0.00021135518909431994,0.46824550577210683
pos17_RRBS,0.15213175117969513,41.0,1536.292724609375,0.0003732586919795722,0.2152155384289633
pos17_C,0.15156778693199158,67.0,847.0895385742188,0.0008870427845977247,0.726694625110141
pos6_C,0.15126094222068787,68.0,1363.9853515625,0.00227759568952024,0.7905334292269734
pos8_C,0.15044927597045898,58.0,1296.4827880859375,0.0018453373340889812,0.7274697385876705
pos21_T,0.15039664506912231,68.0,1143.426513671875,0.0029320423491299152,0.8402703590082272
pos21_C,0.14997050166130066,60.0,1173.4000244140625,0.001105792704038322,0.5841600029385529
pos8_T,0.14894987642765045,55.0,575.3818359375,0.0010034332517534494,0.6878478866015572
pos6_H3K4me3,0.1470806896686554,4.0,967.0,0.00022507240646518767,0.42647175523602726
pos13_T,0.146787628531456,58.0,1774.5517578125,0.001726921065710485,0.6908381852718882
