epoch,train_loss,validation_loss
1,0.022032974757674188,0.014310668208387518
2,0.015792456777358847,0.015576382244062674
3,0.015033288350083097,0.014524037112261502
4,0.014711754212654887,0.014304496940822546
5,0.014514964118364736,0.015266846509948941
6,0.013495669676338144,0.015437743434582958
7,0.0128596160261376,0.014891659577896121
8,0.01213223201436015,0.015367741055274737
9,0.011152702511826117,0.01563254921689971
10,0.010220649287894484,0.01626034190892491
11,0.009974667105782552,0.016272628183640142
12,0.009692818276123888,0.01640764104756918
13,0.00889355578040993,0.01743185312721793
14,0.008434387268350312,0.017600218378689907
15,0.008236079212727333,0.01760172853175238
16,0.007552943704687491,0.01779167291118216
17,0.007133719804394002,0.017912397372984248
18,0.00705259406473362,0.01848030482482819
19,0.006771695451413505,0.018806320825549026
20,0.006117353059672018,0.018479191227496125
21,0.005934616080996545,0.018941555101111646
22,0.005829809609391569,0.01903662250469659
23,0.005495546914241145,0.018499728290804925
24,0.005197226686394613,0.01939818300448984
