epoch,train_loss,validation_loss
1,0.016560319267567156,0.022683153755459755
2,0.01285842515807663,0.016592230036902657
3,0.01244581714516066,0.015145191151672717
4,0.012253585657398413,0.014701802401812418
5,0.012500823846539381,0.013837646486363419
6,0.012113669788476441,0.013731281833058384
7,0.012238531549706676,0.014044042383215818
8,0.011872902021570937,0.013950501896524832
9,0.011941031046488616,0.015572698565253874
10,0.011665484100113593,0.013538608504189748
11,0.011402100259252278,0.01345559374288539
12,0.011341941696755122,0.014804173707123546
13,0.0118081330232635,0.013806184954414222
14,0.011121726163495679,0.014285203123351386
15,0.010938481441189401,0.013704072198923377
16,0.01071979183093462,0.013994438181424639
17,0.01099131136609617,0.01552407399203233
18,0.011081058661795061,0.013565816371507009
19,0.010889592759967547,0.013481558760226827
20,0.0106018374363795,0.013879399182173121
21,0.010495805100801274,0.014186670019971117
22,0.010610476066021881,0.013955160884120745
23,0.010387199183481157,0.01387276674150654
24,0.010254067779984645,0.014103167194729354
25,0.01044742375258446,0.014061711584831741
26,0.010463780744023063,0.013734526246474678
27,0.009876559553212818,0.013678026668595635
28,0.010243641862200916,0.015452745556232439
29,0.009965212394580173,0.01401223780713089
30,0.009443176143686687,0.014393883459329893
31,0.009785713322194009,0.014324085870787645
