Feature,Position,Channel,Transformer_Attention,Attention_Entropy,Attention_SNR
RRBS_pos_17,17,RRBS,0.09639058262109756,3.8821616172790527,1.3518325090408325
H3K4me3_pos_17,17,H3K4me3,0.09639058262109756,3.8821616172790527,1.3518325090408325
Dnase_pos_17,17,Dnase,0.09639058262109756,3.8821616172790527,1.3518325090408325
CTCF_pos_17,17,CTCF,0.09639058262109756,3.8821616172790527,1.3518325090408325
T_pos_17,17,T,0.09639058262109756,3.8821616172790527,1.3518325090408325
G_pos_17,17,G,0.09639058262109756,3.8821616172790527,1.3518325090408325
C_pos_17,17,C,0.09639058262109756,3.8821616172790527,1.3518325090408325
A_pos_17,17,A,0.09639058262109756,3.8821616172790527,1.3518325090408325
RRBS_pos_18,18,RRBS,0.09360235929489136,3.8821616172790527,1.4432002305984497
H3K4me3_pos_18,18,H3K4me3,0.09360235929489136,3.8821616172790527,1.4432002305984497
Dnase_pos_18,18,Dnase,0.09360235929489136,3.8821616172790527,1.4432002305984497
CTCF_pos_18,18,CTCF,0.09360235929489136,3.8821616172790527,1.4432002305984497
T_pos_18,18,T,0.09360235929489136,3.8821616172790527,1.4432002305984497
G_pos_18,18,G,0.09360235929489136,3.8821616172790527,1.4432002305984497
C_pos_18,18,C,0.09360235929489136,3.8821616172790527,1.4432002305984497
A_pos_18,18,A,0.09360235929489136,3.8821616172790527,1.4432002305984497
RRBS_pos_19,19,RRBS,0.07133209705352783,3.8821616172790527,1.190662145614624
H3K4me3_pos_19,19,H3K4me3,0.07133209705352783,3.8821616172790527,1.190662145614624
Dnase_pos_19,19,Dnase,0.07133209705352783,3.8821616172790527,1.190662145614624
CTCF_pos_19,19,CTCF,0.07133209705352783,3.8821616172790527,1.190662145614624
T_pos_19,19,T,0.07133209705352783,3.8821616172790527,1.190662145614624
G_pos_19,19,G,0.07133209705352783,3.8821616172790527,1.190662145614624
C_pos_19,19,C,0.07133209705352783,3.8821616172790527,1.190662145614624
A_pos_19,19,A,0.07133209705352783,3.8821616172790527,1.190662145614624
RRBS_pos_15,15,RRBS,0.06912495940923691,3.8821616172790527,1.3550740480422974
H3K4me3_pos_15,15,H3K4me3,0.06912495940923691,3.8821616172790527,1.3550740480422974
Dnase_pos_15,15,Dnase,0.06912495940923691,3.8821616172790527,1.3550740480422974
CTCF_pos_15,15,CTCF,0.06912495940923691,3.8821616172790527,1.3550740480422974
T_pos_15,15,T,0.06912495940923691,3.8821616172790527,1.3550740480422974
G_pos_15,15,G,0.06912495940923691,3.8821616172790527,1.3550740480422974
C_pos_15,15,C,0.06912495940923691,3.8821616172790527,1.3550740480422974
A_pos_15,15,A,0.06912495940923691,3.8821616172790527,1.3550740480422974
A_pos_2,2,A,0.06590764969587326,3.8821616172790527,1.4787497520446777
C_pos_2,2,C,0.06590764969587326,3.8821616172790527,1.4787497520446777
G_pos_2,2,G,0.06590764969587326,3.8821616172790527,1.4787497520446777
T_pos_2,2,T,0.06590764969587326,3.8821616172790527,1.4787497520446777
CTCF_pos_2,2,CTCF,0.06590764969587326,3.8821616172790527,1.4787497520446777
Dnase_pos_2,2,Dnase,0.06590764969587326,3.8821616172790527,1.4787497520446777
H3K4me3_pos_2,2,H3K4me3,0.06590764969587326,3.8821616172790527,1.4787497520446777
RRBS_pos_2,2,RRBS,0.06590764969587326,3.8821616172790527,1.4787497520446777
A_pos_16,16,A,0.06313355267047882,3.8821616172790527,1.215181589126587
C_pos_16,16,C,0.06313355267047882,3.8821616172790527,1.215181589126587
G_pos_16,16,G,0.06313355267047882,3.8821616172790527,1.215181589126587
T_pos_16,16,T,0.06313355267047882,3.8821616172790527,1.215181589126587
CTCF_pos_16,16,CTCF,0.06313355267047882,3.8821616172790527,1.215181589126587
Dnase_pos_16,16,Dnase,0.06313355267047882,3.8821616172790527,1.215181589126587
H3K4me3_pos_16,16,H3K4me3,0.06313355267047882,3.8821616172790527,1.215181589126587
RRBS_pos_16,16,RRBS,0.06313355267047882,3.8821616172790527,1.215181589126587
RRBS_pos_6,6,RRBS,0.05403149500489235,3.8821616172790527,1.2224864959716797
H3K4me3_pos_6,6,H3K4me3,0.05403149500489235,3.8821616172790527,1.2224864959716797
Dnase_pos_6,6,Dnase,0.05403149500489235,3.8821616172790527,1.2224864959716797
CTCF_pos_6,6,CTCF,0.05403149500489235,3.8821616172790527,1.2224864959716797
T_pos_6,6,T,0.05403149500489235,3.8821616172790527,1.2224864959716797
G_pos_6,6,G,0.05403149500489235,3.8821616172790527,1.2224864959716797
C_pos_6,6,C,0.05403149500489235,3.8821616172790527,1.2224864959716797
A_pos_6,6,A,0.05403149500489235,3.8821616172790527,1.2224864959716797
A_pos_5,5,A,0.0480196550488472,3.8821616172790527,1.1485998630523682
C_pos_5,5,C,0.0480196550488472,3.8821616172790527,1.1485998630523682
G_pos_5,5,G,0.0480196550488472,3.8821616172790527,1.1485998630523682
T_pos_5,5,T,0.0480196550488472,3.8821616172790527,1.1485998630523682
CTCF_pos_5,5,CTCF,0.0480196550488472,3.8821616172790527,1.1485998630523682
Dnase_pos_5,5,Dnase,0.0480196550488472,3.8821616172790527,1.1485998630523682
H3K4me3_pos_5,5,H3K4me3,0.0480196550488472,3.8821616172790527,1.1485998630523682
RRBS_pos_5,5,RRBS,0.0480196550488472,3.8821616172790527,1.1485998630523682
RRBS_pos_0,0,RRBS,0.04700682312250137,3.8821616172790527,1.081093192100525
H3K4me3_pos_0,0,H3K4me3,0.04700682312250137,3.8821616172790527,1.081093192100525
Dnase_pos_0,0,Dnase,0.04700682312250137,3.8821616172790527,1.081093192100525
CTCF_pos_0,0,CTCF,0.04700682312250137,3.8821616172790527,1.081093192100525
T_pos_0,0,T,0.04700682312250137,3.8821616172790527,1.081093192100525
G_pos_0,0,G,0.04700682312250137,3.8821616172790527,1.081093192100525
C_pos_0,0,C,0.04700682312250137,3.8821616172790527,1.081093192100525
A_pos_0,0,A,0.04700682312250137,3.8821616172790527,1.081093192100525
A_pos_3,3,A,0.04451034963130951,3.8821616172790527,1.2803221940994263
C_pos_3,3,C,0.04451034963130951,3.8821616172790527,1.2803221940994263
G_pos_3,3,G,0.04451034963130951,3.8821616172790527,1.2803221940994263
T_pos_3,3,T,0.04451034963130951,3.8821616172790527,1.2803221940994263
CTCF_pos_3,3,CTCF,0.04451034963130951,3.8821616172790527,1.2803221940994263
Dnase_pos_3,3,Dnase,0.04451034963130951,3.8821616172790527,1.2803221940994263
H3K4me3_pos_3,3,H3K4me3,0.04451034963130951,3.8821616172790527,1.2803221940994263
RRBS_pos_3,3,RRBS,0.04451034963130951,3.8821616172790527,1.2803221940994263
RRBS_pos_1,1,RRBS,0.04242771118879318,3.8821616172790527,1.1543941497802734
H3K4me3_pos_1,1,H3K4me3,0.04242771118879318,3.8821616172790527,1.1543941497802734
Dnase_pos_1,1,Dnase,0.04242771118879318,3.8821616172790527,1.1543941497802734
CTCF_pos_1,1,CTCF,0.04242771118879318,3.8821616172790527,1.1543941497802734
T_pos_1,1,T,0.04242771118879318,3.8821616172790527,1.1543941497802734
G_pos_1,1,G,0.04242771118879318,3.8821616172790527,1.1543941497802734
C_pos_1,1,C,0.04242771118879318,3.8821616172790527,1.1543941497802734
A_pos_1,1,A,0.04242771118879318,3.8821616172790527,1.1543941497802734
A_pos_7,7,A,0.03983648866415024,3.8821616172790527,1.0751420259475708
C_pos_7,7,C,0.03983648866415024,3.8821616172790527,1.0751420259475708
G_pos_7,7,G,0.03983648866415024,3.8821616172790527,1.0751420259475708
T_pos_7,7,T,0.03983648866415024,3.8821616172790527,1.0751420259475708
CTCF_pos_7,7,CTCF,0.03983648866415024,3.8821616172790527,1.0751420259475708
Dnase_pos_7,7,Dnase,0.03983648866415024,3.8821616172790527,1.0751420259475708
H3K4me3_pos_7,7,H3K4me3,0.03983648866415024,3.8821616172790527,1.0751420259475708
RRBS_pos_7,7,RRBS,0.03983648866415024,3.8821616172790527,1.0751420259475708
A_pos_8,8,A,0.038147974759340286,3.8821616172790527,0.8646786212921143
C_pos_8,8,C,0.038147974759340286,3.8821616172790527,0.8646786212921143
G_pos_8,8,G,0.038147974759340286,3.8821616172790527,0.8646786212921143
T_pos_8,8,T,0.038147974759340286,3.8821616172790527,0.8646786212921143
CTCF_pos_8,8,CTCF,0.038147974759340286,3.8821616172790527,0.8646786212921143
Dnase_pos_8,8,Dnase,0.038147974759340286,3.8821616172790527,0.8646786212921143
H3K4me3_pos_8,8,H3K4me3,0.038147974759340286,3.8821616172790527,0.8646786212921143
RRBS_pos_8,8,RRBS,0.038147974759340286,3.8821616172790527,0.8646786212921143
A_pos_4,4,A,0.03480643033981323,3.8821616172790527,1.1265301704406738
C_pos_4,4,C,0.03480643033981323,3.8821616172790527,1.1265301704406738
G_pos_4,4,G,0.03480643033981323,3.8821616172790527,1.1265301704406738
T_pos_4,4,T,0.03480643033981323,3.8821616172790527,1.1265301704406738
CTCF_pos_4,4,CTCF,0.03480643033981323,3.8821616172790527,1.1265301704406738
Dnase_pos_4,4,Dnase,0.03480643033981323,3.8821616172790527,1.1265301704406738
H3K4me3_pos_4,4,H3K4me3,0.03480643033981323,3.8821616172790527,1.1265301704406738
RRBS_pos_4,4,RRBS,0.03480643033981323,3.8821616172790527,1.1265301704406738
A_pos_9,9,A,0.03345374017953873,3.8821616172790527,0.8950912952423096
C_pos_9,9,C,0.03345374017953873,3.8821616172790527,0.8950912952423096
G_pos_9,9,G,0.03345374017953873,3.8821616172790527,0.8950912952423096
T_pos_9,9,T,0.03345374017953873,3.8821616172790527,0.8950912952423096
CTCF_pos_9,9,CTCF,0.03345374017953873,3.8821616172790527,0.8950912952423096
Dnase_pos_9,9,Dnase,0.03345374017953873,3.8821616172790527,0.8950912952423096
H3K4me3_pos_9,9,H3K4me3,0.03345374017953873,3.8821616172790527,0.8950912952423096
RRBS_pos_9,9,RRBS,0.03345374017953873,3.8821616172790527,0.8950912952423096
A_pos_20,20,A,0.03049008920788765,3.8821616172790527,1.1799938678741455
C_pos_20,20,C,0.03049008920788765,3.8821616172790527,1.1799938678741455
G_pos_20,20,G,0.03049008920788765,3.8821616172790527,1.1799938678741455
T_pos_20,20,T,0.03049008920788765,3.8821616172790527,1.1799938678741455
CTCF_pos_20,20,CTCF,0.03049008920788765,3.8821616172790527,1.1799938678741455
Dnase_pos_20,20,Dnase,0.03049008920788765,3.8821616172790527,1.1799938678741455
H3K4me3_pos_20,20,H3K4me3,0.03049008920788765,3.8821616172790527,1.1799938678741455
