Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
Dnase_pos_16,16,Dnase,0.004998656455427408,0.04291065037250519,1.5650644302368164
Dnase_pos_17,17,Dnase,0.004997663199901581,0.042899277061223984,1.5637211799621582
Dnase_pos_18,18,Dnase,0.004980824887752533,0.04288744553923607,1.5635554790496826
Dnase_pos_6,6,Dnase,0.004993564914911985,0.04288090392947197,1.562759518623352
Dnase_pos_15,15,Dnase,0.005007985047996044,0.04287528619170189,1.563381552696228
Dnase_pos_7,7,Dnase,0.005030378699302673,0.04287485405802727,1.5603464841842651
Dnase_pos_8,8,Dnase,0.005011633969843388,0.042863309383392334,1.559889793395996
Dnase_pos_11,11,Dnase,0.0050173657946288586,0.04284851998090744,1.5595144033432007
Dnase_pos_12,12,Dnase,0.00501138623803854,0.042847488075494766,1.5597103834152222
Dnase_pos_10,10,Dnase,0.005014442838728428,0.04283828288316727,1.5587273836135864
Dnase_pos_14,14,Dnase,0.0050314501859247684,0.04282684996724129,1.5592739582061768
Dnase_pos_9,9,Dnase,0.005006677471101284,0.042823903262615204,1.5569415092468262
Dnase_pos_13,13,Dnase,0.005006253719329834,0.04280346632003784,1.556843876838684
Dnase_pos_5,5,Dnase,0.005009212996810675,0.042762819677591324,1.5559988021850586
Dnase_pos_4,4,Dnase,0.005033576861023903,0.042705927044153214,1.5542689561843872
T_pos_19,19,T,0.0023257702123373747,0.039784952998161316,1.547790288925171
Dnase_pos_19,19,Dnase,0.004382885526865721,0.03888092562556267,1.6004905700683594
Dnase_pos_3,3,Dnase,0.005842851474881172,0.03874911367893219,1.5931017398834229
T_pos_20,20,T,0.004064579959958792,0.034123003482818604,1.3717310428619385
Dnase_pos_2,2,Dnase,0.007657282054424286,0.03366463631391525,1.7078396081924438
Dnase_pos_20,20,Dnase,0.006490480620414019,0.033571649342775345,1.6634358167648315
T_pos_18,18,T,0.0020653861574828625,0.03181632608175278,1.2507866621017456
T_pos_17,17,T,0.002136252587661147,0.0284418947994709,1.1793103218078613
Dnase_pos_21,21,Dnase,0.005959982983767986,0.027381615713238716,1.7547072172164917
C_pos_19,19,C,0.0013047605752944946,0.02512354776263237,1.2252508401870728
T_pos_7,7,T,0.0020951670594513416,0.02468607760965824,1.1307141780853271
T_pos_6,6,T,0.0014330357080325484,0.024444812908768654,1.1319218873977661
Dnase_pos_22,22,Dnase,0.004995019640773535,0.023947183042764664,1.6056627035140991
T_pos_9,9,T,0.0014332873979583383,0.02389654703438282,1.1321696043014526
T_pos_12,12,T,0.001286091050133109,0.02378496713936329,1.0702755451202393
T_pos_16,16,T,0.0012963972985744476,0.023783758282661438,1.113260269165039
T_pos_10,10,T,0.0015558163868263364,0.02318345010280609,1.1322190761566162
T_pos_11,11,T,0.0016273671062663198,0.02304704114794731,1.1056373119354248
T_pos_14,14,T,0.0016664115246385336,0.022692443802952766,1.1049410104751587
G_pos_4,4,G,0.0008668781956657767,0.02259892411530018,1.4555652141571045
T_pos_8,8,T,0.0016103334492072463,0.022564159706234932,1.0799319744110107
T_pos_15,15,T,0.0012727479916065931,0.021989891305565834,1.1178735494613647
T_pos_13,13,T,0.0015626188833266497,0.021418573334813118,1.0773216485977173
RRBS_pos_8,8,RRBS,9.991812839871272e-05,0.02110806666314602,1.3536182641983032
RRBS_pos_12,12,RRBS,8.854977204464376e-05,0.021052449941635132,1.3422486782073975
RRBS_pos_18,18,RRBS,0.0,0.02101912349462509,1.3507946729660034
RRBS_pos_13,13,RRBS,0.0,0.021014831960201263,1.3457107543945312
RRBS_pos_4,4,RRBS,0.0,0.021014085039496422,1.349928617477417
RRBS_pos_5,5,RRBS,2.9700204322580248e-05,0.021013880148530006,1.3444738388061523
RRBS_pos_17,17,RRBS,3.007941813848447e-05,0.0210091732442379,1.3441957235336304
RRBS_pos_6,6,RRBS,7.996400199772324e-06,0.020999250933527946,1.3410660028457642
RRBS_pos_9,9,RRBS,0.0,0.020997734740376472,1.345461368560791
RRBS_pos_16,16,RRBS,2.676036092452705e-05,0.02097383700311184,1.3431315422058105
RRBS_pos_11,11,RRBS,6.755728009011364e-06,0.020968565717339516,1.341001033782959
RRBS_pos_7,7,RRBS,1.981740388146136e-05,0.020962709560990334,1.3415323495864868
RRBS_pos_15,15,RRBS,2.3316410079132766e-05,0.020959017798304558,1.340446949005127
RRBS_pos_10,10,RRBS,1.94995504898543e-06,0.020950209349393845,1.339618444442749
RRBS_pos_14,14,RRBS,0.0,0.0209222249686718,1.3368831872940063
C_pos_1,1,C,0.0006918611470609903,0.020873399451375008,1.2025128602981567
G_pos_14,14,G,0.0008668563677929342,0.020774278789758682,1.2594822645187378
T_pos_5,5,T,0.0016574814217165112,0.02067427523434162,1.1194844245910645
G_pos_8,8,G,0.0007841825718060136,0.02037784270942211,1.2965298891067505
G_pos_7,7,G,0.0005753334262408316,0.02034410648047924,1.2897273302078247
G_pos_6,6,G,0.0007483168155886233,0.020170748233795166,1.2569259405136108
T_pos_4,4,T,0.0011268535163253546,0.02003462426364422,1.0877649784088135
G_pos_11,11,G,0.0007964185206219554,0.019969912245869637,1.2980923652648926
G_pos_5,5,G,0.0008066564332693815,0.019836967810988426,1.3021843433380127
G_pos_13,13,G,0.0008086829329840839,0.01981447823345661,1.1581186056137085
G_pos_10,10,G,0.0007037909817881882,0.019739842042326927,1.2610423564910889
C_pos_15,15,C,0.000707258062902838,0.019724486395716667,1.0791850090026855
G_pos_9,9,G,0.0007283053128048778,0.01948658935725689,1.2623450756072998
C_pos_13,13,C,0.0008736825548112392,0.01948222517967224,1.1359275579452515
C_pos_12,12,C,0.0008947657770477235,0.01944049820303917,1.0710500478744507
G_pos_12,12,G,0.000876890670042485,0.01932341791689396,1.2234548330307007
C_pos_18,18,C,0.0008668478112667799,0.019246676936745644,1.0913853645324707
C_pos_0,0,C,0.0006289563607424498,0.019131170585751534,1.3306831121444702
C_pos_6,6,C,0.0006733529735356569,0.01911081187427044,1.0550733804702759
G_pos_16,16,G,0.0006000790162943304,0.018838675692677498,1.341294765472412
C_pos_4,4,C,0.000978794414550066,0.01882713846862316,1.1106528043746948
C_pos_5,5,C,0.0006408889894373715,0.01880810223519802,1.071384310722351
G_pos_15,15,G,0.0008156142430379987,0.018585605546832085,1.2217276096343994
C_pos_11,11,C,0.0006486201891675591,0.018517669290304184,1.015872836112976
G_pos_3,3,G,0.0007485055830329657,0.01848883368074894,1.2076107263565063
G_pos_17,17,G,0.0006931230891495943,0.01845862902700901,1.249395728111267
T_pos_21,21,T,0.0,0.018183808773756027,1.2082539796829224
RRBS_pos_3,3,RRBS,2.00742779270513e-05,0.0181102454662323,1.2885509729385376
C_pos_9,9,C,0.0009552612318657339,0.018099986016750336,1.0415866374969482
RRBS_pos_19,19,RRBS,0.0,0.01801498793065548,1.2794002294540405
C_pos_3,3,C,0.0006498860311694443,0.018003027886152267,1.1441785097122192
C_pos_7,7,C,0.000768519879784435,0.017943501472473145,1.0757875442504883
C_pos_10,10,C,0.0007583442493341863,0.01788470335304737,1.0559653043746948
C_pos_14,14,C,0.0006544784992001951,0.017742084339261055,1.0182992219924927
C_pos_8,8,C,0.0007625460857525468,0.017502766102552414,1.0053948163986206
C_pos_16,16,C,0.0007000835612416267,0.017374979332089424,1.040208339691162
T_pos_22,22,T,0.0,0.017047831788659096,1.5288211107254028
T_pos_3,3,T,0.0012497341958805919,0.016773000359535217,1.0030759572982788
Dnase_pos_1,1,Dnase,0.0033241077326238155,0.016709476709365845,1.5174384117126465
G_pos_2,2,G,0.00048825977137312293,0.016708314418792725,1.2156003713607788
G_pos_18,18,G,0.0006649890565313399,0.016491837799549103,1.288082242012024
G_pos_19,19,G,0.0005762722576037049,0.016138220205903053,1.2775341272354126
RRBS_pos_20,20,RRBS,0.00013231717457529157,0.01612781547009945,1.4285422563552856
A_pos_18,18,A,0.0005131677025929093,0.015978902578353882,1.0602855682373047
A_pos_20,20,A,0.0005607316852547228,0.01591714657843113,1.1822760105133057
RRBS_pos_21,21,RRBS,6.52833841741085e-05,0.015763333067297935,1.2987080812454224
T_pos_2,2,T,0.0007356568239629269,0.015689942985773087,0.9224931597709656
C_pos_17,17,C,0.0005684273201040924,0.015398651361465454,1.0963071584701538
C_pos_2,2,C,0.0006690611480735242,0.015228471718728542,1.0085831880569458
Dnase_pos_0,0,Dnase,0.007246942725032568,0.015102886594831944,1.9413211345672607
A_pos_19,19,A,0.00043830505455844104,0.014925907365977764,1.0672122240066528
RRBS_pos_2,2,RRBS,0.00016681225679349154,0.01479659415781498,1.2644098997116089
T_pos_1,1,T,0.000939979450777173,0.014673569239675999,1.0510237216949463
C_pos_20,20,C,0.00019169725419487804,0.013765105046331882,1.0530507564544678
RRBS_pos_1,1,RRBS,1.2426285138644744e-05,0.01371423713862896,1.3362572193145752
A_pos_22,22,A,0.0,0.013304728083312511,1.2412760257720947
A_pos_13,13,A,0.0004398540186230093,0.013015549629926682,0.9519966840744019
A_pos_10,10,A,0.000574413628783077,0.012846466153860092,0.9971423149108887
A_pos_9,9,A,0.0005091786733828485,0.012808292172849178,1.0037442445755005
A_pos_15,15,A,0.00047227038885466754,0.012798705138266087,1.0234801769256592
RRBS_pos_22,22,RRBS,0.0,0.012639738619327545,1.3683162927627563
A_pos_11,11,A,0.0004698763368651271,0.01263904944062233,1.0166516304016113
A_pos_16,16,A,0.0005262191407382488,0.01241991389542818,0.9630908966064453
A_pos_12,12,A,0.0003953748964704573,0.012414573691785336,1.0245016813278198
A_pos_8,8,A,0.00043881093733944,0.01239947322756052,0.98138028383255
A_pos_21,21,A,0.0,0.01231815479695797,1.1666940450668335
A_pos_14,14,A,0.00045375109766609967,0.012311517260968685,1.051339030265808
G_pos_0,0,G,0.0004577316576614976,0.01218962762504816,1.1865606307983398
A_pos_6,6,A,0.0004823021881747991,0.012153257615864277,1.034239411354065
A_pos_3,3,A,0.0004595523059833795,0.011848030611872673,0.9271144866943359
C_pos_21,21,C,0.0,0.0116834482178092,1.0268980264663696
G_pos_1,1,G,0.00031750689959153533,0.011675527319312096,1.253339409828186
G_pos_20,20,G,0.0004941152292303741,0.011658705770969391,1.193898320198059
A_pos_17,17,A,0.0005378051428124309,0.011634428054094315,0.9241309762001038
A_pos_7,7,A,0.00035491681774146855,0.011550195515155792,1.0733616352081299
A_pos_5,5,A,0.000432550412369892,0.011286343447864056,1.0758659839630127
A_pos_4,4,A,0.00033073528902605176,0.011153999716043472,1.0818891525268555
C_pos_22,22,C,0.0,0.01097952201962471,1.2462882995605469
A_pos_2,2,A,0.00047527634887956083,0.010259612463414669,1.0743169784545898
T_pos_0,0,T,0.0004897000035271049,0.00975548941642046,0.9429935216903687
G_pos_21,21,G,0.001885759993456304,0.00877462886273861,1.3192298412322998
A_pos_1,1,A,0.00033727820846252143,0.008057285100221634,1.0437352657318115
G_pos_22,22,G,0.0015634414739906788,0.008025206625461578,1.1408742666244507
A_pos_0,0,A,0.00023928684822749346,0.007846844382584095,0.9627750515937805
RRBS_pos_0,0,RRBS,0.0,0.0067243436351418495,1.2571154832839966
