epoch,train_loss,validation_loss
1,0.028504973853036443,0.01573926651209497
2,0.014609699806035673,0.014651438773840283
3,0.013452216686715526,0.013413700447312984
4,0.01218940524149786,0.014866752425729749
5,0.011968125252044168,0.013352917414458043
6,0.011404906454030105,0.012838083738610867
7,0.011659991888987017,0.012897959787554297
8,0.010582381596625959,0.012913451970246443
9,0.010240890474763108,0.013229578532805588
10,0.009804327942107926,0.014073086069998634
11,0.009618037907792549,0.013020510285182398
12,0.009685563321590054,0.013770973267950046
13,0.008805719998403,0.012991613762339404
14,0.007982713386354902,0.013374748304366491
15,0.00812053241679177,0.013996854765861747
16,0.007340063816558182,0.01369640537480737
17,0.007017657337665394,0.01333716125721621
18,0.006963759087056886,0.014118542023290584
19,0.006253514957728976,0.014446593548539558
20,0.005951060894915176,0.014201688017228984
21,0.006047578864068777,0.014747124596519869
22,0.005231956460020272,0.01553370118129196
23,0.005344456754604333,0.015375701375185869
24,0.0052229553487995375,0.01528398765376814
25,0.0048072100242026825,0.014970253033030454
26,0.0047668073786562345,0.01597382335764898
