factor,n_models,mean_dR2,min,max,n_negative,n_positive,model_cnn(3|3),model_cnn(5|3),model_cnn(7|3),model_linear,model_mlp,model_transformer,model_xgboost
ctcf,14,1.7556867958603753e+18,-0.015092,2.457680280769976e+19,5,9,0.011686750000000001,0.0008802500000000004,0.00854875,2.457680280769976e+19,-0.012001249999999998,0.009948249999999999,0.00584275
dnase,14,-1.9992463878328873e+18,-2.799231178328821e+19,2862353627787053.0,6,8,-0.00314275,0.0007977499999999998,0.009008,-2.799231178328821e+19,-0.0028585,-0.0032100000000000006,0.0006575
h3k4me3,14,1.2680400134868132e+18,-3113691967796835.5,1.7755673880783182e+19,9,5,0.010617999999999999,-0.00045950000000000027,-0.004251,1.7755673880783182e+19,0.0021665,0.01521175,0.003215
rrbs,14,-1.2271675025484966e+17,-1.720956620239049e+18,2922116671153638.0,6,8,0.0018059999999999994,-0.014602500000000001,0.0004827500000000001,-1.720956620239049e+18,0.0031665,-0.011347,0.0063005000000000005
