factor,n_edges,n_excl0,mean_estimate,n_seeds_total
ctcf,496,163,9.704094587389069e-05,660
dnase,492,155,0.0013891519454008589,654
h3k4me3,494,168,-0.0003984957659642441,659
rrbs,496,154,-0.0013485693740672143,660
