factor,estimate,ci_low,ci_high,n_models,status
ctcf,0.000319119047619048,-0.0034624783730158723,0.003774142857142857,7,ok
dnase,0.0013204761904761903,-0.0012515623015873015,0.004280999999999999,7,ok
h3k4me3,-0.0006586587301587304,-0.0033362914682539685,0.0018312698412698409,7,ok
rrbs,-0.0014877936507936508,-0.003994653968253968,0.000993671031746029,7,ok
