Feature,MLP_IG,IG_SNR
pos18_C,0.017587785,0.60205513
pos23_G,0.0102036,1.8707336
pos9_H3K4me3,0.008653758,1.4220515
pos18_A,0.008590725,0.6150698
pos20_G,0.00856132,0.59711397
pos19_C,0.0073281974,0.51110464
pos22_G,0.006502809,0.94065195
pos21_H3K4me3,0.0058703064,1.1044943
pos5_H3K4me3,0.005330545,1.0681763
pos4_H3K4me3,0.005089771,0.91971403
pos7_H3K4me3,0.005065814,0.89583355
pos1_G,0.0050419928,0.4936537
pos14_H3K4me3,0.0049629263,0.9240895
pos16_C,0.0048077223,0.4976741
pos1_C,0.0047991583,0.49851486
pos14_G,0.0044895676,0.5396894
pos18_H3K4me3,0.0044334703,0.81675625
pos19_G,0.004424417,0.5262546
pos2_H3K4me3,0.0043330733,0.821215
pos1_H3K4me3,0.004307291,0.9232232
pos19_A,0.004300827,0.54964656
pos20_H3K4me3,0.004245125,0.8711361
pos3_H3K4me3,0.0041318974,0.86585164
pos22_H3K4me3,0.0041318494,0.90308744
pos19_H3K4me3,0.004118649,0.83293843
pos15_A,0.0039980323,0.495793
pos18_G,0.0039812312,0.4436863
pos16_H3K4me3,0.0038645454,0.76101375
pos23_H3K4me3,0.003859332,0.7561508
pos17_G,0.0038334664,0.59067
pos13_H3K4me3,0.0038297018,0.7514642
pos8_G,0.003816665,0.50849694
pos16_G,0.0037728152,0.47463876
pos10_H3K4me3,0.0037481457,0.74776673
pos14_T,0.0036449528,0.44252914
pos8_C,0.0036043143,0.48898014
pos20_C,0.0035779786,0.46903023
pos15_H3K4me3,0.0035651647,0.7439972
pos3_C,0.0035545684,0.4855697
pos17_H3K4me3,0.0035365752,0.7450445
pos5_C,0.0033571075,0.44349623
pos8_H3K4me3,0.0032882732,0.74612147
pos11_H3K4me3,0.0032042873,0.8085319
pos6_H3K4me3,0.0031778887,0.7696768
pos6_T,0.0029190124,0.4562228
pos6_G,0.002850158,0.44022876
pos12_H3K4me3,0.0028318306,0.76288944
pos17_C,0.0028047482,0.4828865
pos21_G,0.0027430288,0.37563673
pos12_A,0.002681394,0.45770904
pos9_T,0.0026661716,0.38721818
pos10_A,0.0026446253,0.45001075
pos21_A,0.0026097603,0.47196755
pos2_C,0.0024679275,0.4676803
pos3_G,0.002466528,0.4555479
pos17_A,0.002465935,0.40685582
pos14_A,0.0024110181,0.39992318
pos21_T,0.0023800011,0.44924083
pos15_T,0.0023295232,0.41345826
pos16_T,0.002272212,0.4061109
pos10_C,0.0022387374,0.43917152
pos9_C,0.0022217578,0.4232797
pos20_A,0.0022030312,0.42916209
pos15_C,0.0021862052,0.38362786
pos4_A,0.0021815076,0.4004426
pos12_C,0.0021792275,0.41754758
pos15_G,0.0021118547,0.411225
pos11_G,0.0020301722,0.41590205
pos3_T,0.0019957093,0.39308167
pos11_A,0.0019872272,0.40882725
pos3_A,0.0019763666,0.40698653
pos2_G,0.0019574817,0.39044517
pos7_C,0.0019389978,0.4364872
pos5_T,0.0018752248,0.39109015
pos10_G,0.0018154207,0.4220112
pos9_G,0.0018127194,0.36541897
pos6_C,0.0018035015,0.4190808
pos13_G,0.0017844487,0.4236116
pos11_C,0.0017813506,0.4270891
pos4_T,0.0017710698,0.37683678
pos10_T,0.0017616104,0.3984914
pos7_T,0.0017549604,0.38328934
pos11_T,0.0017399573,0.37372723
pos8_A,0.0017312836,0.36090145
pos4_G,0.001706482,0.42978933
pos4_C,0.0016775412,0.41664022
pos2_A,0.0016600366,0.38909695
pos13_C,0.0016212488,0.40330437
pos6_A,0.0015492577,0.3984847
pos1_T,0.0015365271,0.39895493
pos9_A,0.0015307544,0.40621907
pos14_C,0.0015208137,0.40905184
pos7_G,0.0015069168,0.40972447
pos12_T,0.0014697303,0.38921896
pos1_A,0.0014422269,0.34875
pos12_G,0.0014361148,0.36912087
pos13_A,0.0014261829,0.36244476
pos16_A,0.0013814624,0.3807178
pos8_T,0.0012736607,0.36099204
pos5_G,0.0012155581,0.39279962
pos2_T,0.0012086356,0.32765707
pos13_T,0.0011944195,0.35831586
pos5_A,0.0011396289,0.344872
pos7_A,0.0011110466,0.35468885
pos21_C,0.00094509847,0.29384091
pos18_T,0.00082057185,0.21778095
pos17_T,0.0007801009,0.16928828
pos20_T,0.0007348662,0.16335906
pos19_T,0.000715879,0.16850732
pos21_RRBS,0.0004478835,0.15014967
pos17_RRBS,0.00038586018,0.101083785
pos16_RRBS,0.0003194442,0.10858562
pos22_RRBS,0.0002340801,0.11956338
pos14_RRBS,0.00013160126,0.07581163
pos9_RRBS,0.00012089103,0.07399807
pos20_RRBS,0.00011406584,0.070994996
pos4_RRBS,0.00010956306,0.082749896
pos12_RRBS,0.000106738575,0.08786966
pos13_RRBS,0.000102360886,0.07953728
pos11_RRBS,9.600784e-05,0.08292046
pos18_RRBS,9.582862e-05,0.072992
pos2_RRBS,8.3360595e-05,0.06531668
pos19_RRBS,8.0516074e-05,0.075580105
pos5_RRBS,5.699099e-05,0.07100401
pos8_RRBS,5.6680346e-05,0.058132716
pos7_RRBS,5.1091643e-05,0.052028548
pos1_RRBS,5.0033188e-05,0.0557644
pos3_RRBS,3.715037e-05,0.0688757
pos15_RRBS,3.276891e-05,0.065949954
pos10_RRBS,3.221318e-05,0.059705514
pos6_RRBS,3.1632968e-05,0.06485831
pos2_Dnase,0.0,0.0
pos3_Dnase,0.0,0.0
pos3_CTCF,0.0,0.0
pos1_CTCF,0.0,0.0
pos1_Dnase,0.0,0.0
pos7_CTCF,0.0,0.0
pos7_Dnase,0.0,0.0
pos6_Dnase,0.0,0.0
pos6_CTCF,0.0,0.0
pos4_CTCF,0.0,0.0
pos4_Dnase,0.0,0.0
pos5_Dnase,0.0,0.0
pos5_CTCF,0.0,0.0
pos2_CTCF,0.0,0.0
pos9_Dnase,0.0,0.0
pos8_Dnase,0.0,0.0
pos8_CTCF,0.0,0.0
pos10_CTCF,0.0,0.0
pos10_Dnase,0.0,0.0
pos11_Dnase,0.0,0.0
pos11_CTCF,0.0,0.0
pos15_CTCF,0.0,0.0
pos15_Dnase,0.0,0.0
pos14_Dnase,0.0,0.0
pos14_CTCF,0.0,0.0
pos12_CTCF,0.0,0.0
pos12_Dnase,0.0,0.0
pos13_Dnase,0.0,0.0
pos13_CTCF,0.0,0.0
pos9_CTCF,0.0,0.0
pos19_Dnase,0.0,0.0
pos18_Dnase,0.0,0.0
pos18_CTCF,0.0,0.0
pos16_CTCF,0.0,0.0
pos16_Dnase,0.0,0.0
pos17_Dnase,0.0,0.0
pos17_CTCF,0.0,0.0
pos19_CTCF,0.0,0.0
pos21_Dnase,0.0,0.0
pos20_Dnase,0.0,0.0
pos20_CTCF,0.0,0.0
pos21_CTCF,0.0,0.0
pos22_C,0.0,0.0
pos22_T,0.0,0.0
pos22_A,0.0,0.0
pos22_CTCF,0.0,0.0
pos22_Dnase,0.0,0.0
pos23_C,0.0,0.0
pos23_A,0.0,0.0
pos23_T,0.0,0.0
pos23_CTCF,0.0,0.0
pos23_Dnase,0.0,0.0
pos23_RRBS,0.0,0.0
