epoch,train_loss,validation_loss
1,0.03191491107669759,0.028577178505343904
2,0.028017182958567307,0.028453471672474955
3,0.027216248651277395,0.031887063570831854
4,0.026803443392135567,0.028147910904797086
5,0.026252270149532818,0.02899817231793744
6,0.02589392122307841,0.027844286620044317
7,0.02531471443964229,0.02855425070006697
8,0.0248923420244694,0.028069902504542936
9,0.02450450299998878,0.028960271957453956
10,0.024119933423910143,0.02812079404636686
11,0.023548292142328387,0.028628919508788746
12,0.02296020236015465,0.028815954814563623
13,0.02293729100823838,0.02868424616719972
14,0.022345940986130693,0.028818884791170687
15,0.021942277366251133,0.02901978873922971
16,0.021214826483469167,0.029470702198701286
17,0.02117389976427057,0.029247308468611437
18,0.02083239610565069,0.029445110749511248
19,0.020700048181554867,0.02999873806646627
20,0.020131273544138205,0.029848744296907617
21,0.019707610627956562,0.030298194351238823
22,0.019402913535315588,0.02967830971633199
23,0.018989339188282238,0.029579808306688576
24,0.019005668020314732,0.030631909595098608
25,0.018435070071208152,0.030171473577877632
26,0.01832004453014792,0.030799893295939428
