Feature,MLP_IG,IG_SNR
pos18_C,0.017183606,0.62943155
pos20_G,0.0103574395,0.6440019
pos19_G,0.009166447,0.69561094
pos1_G,0.008209292,0.5771816
pos18_A,0.008002056,0.71487916
pos17_G,0.006354021,0.71864754
pos14_T,0.0061084754,0.54979736
pos20_C,0.005573779,0.6594346
pos11_A,0.0050267978,0.5015925
pos16_C,0.0045215567,0.56694305
pos17_C,0.0044364673,0.6096807
pos6_G,0.0043664435,0.55383915
pos2_C,0.004301323,0.5782721
pos14_G,0.004013225,0.555724
pos10_A,0.0040056314,0.500917
pos4_G,0.003982958,0.5939633
pos22_G,0.0038275085,0.9009317
pos21_G,0.003766949,0.44118983
pos15_T,0.0037390324,0.53479224
pos20_A,0.003673641,0.61768746
pos13_C,0.0035754836,0.58226895
pos23_G,0.0035129136,1.1009531
pos15_A,0.0032792464,0.5535304
pos16_T,0.0032696684,0.52937615
pos16_G,0.0032527263,0.55164856
pos3_T,0.0031657594,0.5354524
pos12_A,0.003158924,0.55849385
pos9_A,0.003047497,0.53623503
pos19_A,0.0028046782,0.53904885
pos12_G,0.0027408984,0.4952949
pos17_A,0.0025136664,0.5433353
pos7_G,0.002395534,0.5248232
pos21_T,0.0023928187,0.5325981
pos16_A,0.00237152,0.4896875
pos1_C,0.0021347261,0.5114188
pos3_G,0.002046534,0.49164844
pos5_C,0.001979653,0.52166754
pos15_G,0.0019787303,0.47661754
pos9_C,0.0019370867,0.5095032
pos4_A,0.0019331772,0.45151782
pos8_C,0.0019156204,0.5237367
pos11_C,0.001860117,0.50202525
pos13_T,0.0017788487,0.46107775
pos9_T,0.001777442,0.48616928
pos7_C,0.0017266636,0.5161297
pos10_T,0.0017232635,0.45320532
pos19_C,0.0017017465,0.5073136
pos2_A,0.0016665192,0.4970132
pos6_C,0.0016659187,0.49200466
pos6_T,0.0016406252,0.4576069
pos1_A,0.0015553649,0.4610124
pos14_C,0.0015142726,0.49088335
pos3_A,0.0013979296,0.47182378
pos8_T,0.0013860464,0.42983142
pos1_T,0.0013835804,0.45656666
pos14_A,0.0013239109,0.43856457
pos2_G,0.0012791989,0.45317712
pos21_A,0.0012740559,0.5168683
pos11_G,0.0012517638,0.49845457
pos5_G,0.0012448444,0.4802342
pos4_C,0.0012233814,0.46250075
pos4_T,0.0012025435,0.4108682
pos18_G,0.0012024983,0.43307567
pos11_T,0.0011432903,0.42114767
pos3_C,0.0011164158,0.4287955
pos8_G,0.0011015228,0.46472818
pos13_G,0.0010845957,0.43151993
pos10_G,0.001071998,0.41902515
pos8_A,0.0010460438,0.40797445
pos10_C,0.0010278453,0.42032868
pos9_G,0.00095878047,0.40924987
pos15_C,0.0009138876,0.41407567
pos6_A,0.0009080956,0.4141123
pos12_C,0.0008660638,0.40556058
pos5_T,0.000810787,0.3900021
pos7_T,0.0007579637,0.36637107
pos17_T,0.00075539283,0.20734462
pos5_A,0.00074295345,0.38622355
pos13_A,0.00072187727,0.39853665
pos12_T,0.0006880415,0.41117635
pos19_T,0.0006485894,0.2009168
pos2_T,0.00064095727,0.34305015
pos7_A,0.000611604,0.37674272
pos21_C,0.0004551586,0.3042497
pos18_T,0.00042926855,0.21487804
pos20_T,0.00039435015,0.18024424
pos3_H3K4me3,0.0,0.0
pos3_RRBS,0.0,0.0
pos7_RRBS,0.0,0.0
pos7_H3K4me3,0.0,0.0
pos7_Dnase,0.0,0.0
pos7_CTCF,0.0,0.0
pos6_CTCF,0.0,0.0
pos6_Dnase,0.0,0.0
pos6_H3K4me3,0.0,0.0
pos6_RRBS,0.0,0.0
pos4_RRBS,0.0,0.0
pos4_H3K4me3,0.0,0.0
pos4_Dnase,0.0,0.0
pos4_CTCF,0.0,0.0
pos5_CTCF,0.0,0.0
pos5_Dnase,0.0,0.0
pos5_H3K4me3,0.0,0.0
pos5_RRBS,0.0,0.0
pos2_RRBS,0.0,0.0
pos2_H3K4me3,0.0,0.0
pos2_Dnase,0.0,0.0
pos2_CTCF,0.0,0.0
pos1_RRBS,0.0,0.0
pos1_H3K4me3,0.0,0.0
pos1_Dnase,0.0,0.0
pos1_CTCF,0.0,0.0
pos3_CTCF,0.0,0.0
pos3_Dnase,0.0,0.0
pos11_RRBS,0.0,0.0
pos11_H3K4me3,0.0,0.0
pos10_CTCF,0.0,0.0
pos10_Dnase,0.0,0.0
pos11_Dnase,0.0,0.0
pos11_CTCF,0.0,0.0
pos15_RRBS,0.0,0.0
pos15_H3K4me3,0.0,0.0
pos15_Dnase,0.0,0.0
pos15_CTCF,0.0,0.0
pos14_CTCF,0.0,0.0
pos14_Dnase,0.0,0.0
pos14_H3K4me3,0.0,0.0
pos14_RRBS,0.0,0.0
pos12_RRBS,0.0,0.0
pos12_H3K4me3,0.0,0.0
pos12_Dnase,0.0,0.0
pos12_CTCF,0.0,0.0
pos13_CTCF,0.0,0.0
pos13_Dnase,0.0,0.0
pos13_H3K4me3,0.0,0.0
pos13_RRBS,0.0,0.0
pos9_RRBS,0.0,0.0
pos9_H3K4me3,0.0,0.0
pos9_Dnase,0.0,0.0
pos9_CTCF,0.0,0.0
pos8_CTCF,0.0,0.0
pos8_Dnase,0.0,0.0
