epoch,train_loss,validation_loss
1,0.029285377922487567,0.0255664381935419
2,0.027543434648486978,0.024317260319996824
3,0.026802411597493806,0.02383365064830495
4,0.026281675626031786,0.023699219398609493
5,0.025926949748364368,0.02338231678136351
6,0.025795052829817516,0.023913398718827403
7,0.025405843176541883,0.027043461382489833
8,0.02558266925584238,0.023127068894009152
9,0.025295383614965986,0.023058523137237975
10,0.02530844532456135,0.023034606666830958
11,0.025200726725948287,0.02283839818183555
12,0.025056594935764485,0.023113331002499626
13,0.025029532556773124,0.022961244184535677
14,0.024926205204409975,0.023206996785175994
15,0.024853316472809008,0.023270027796080662
16,0.024718475802950737,0.02317977671466276
17,0.02467730372189338,0.022794676204445398
18,0.02444044039435507,0.02283234568312764
19,0.024433808763090575,0.022913550151557962
20,0.024401401533366226,0.022917595202608557
21,0.024245592244299563,0.022758554992123006
22,0.024110196842656462,0.02322369165716333
23,0.024136667076978216,0.023622415844253255
24,0.024119174166315253,0.023784723807446357
25,0.023999631379482772,0.024414717759892592
26,0.023850602238110807,0.02440947424561117
27,0.023783863461801773,0.023932963978668103
28,0.023736832428522963,0.022921023653470447
29,0.02363261023832164,0.02384914080712384
30,0.02346193918675164,0.023518168301875024
31,0.023355317945784465,0.02314881558378887
32,0.023352236514269858,0.023813031912042613
33,0.022992572789705765,0.024262242203107135
34,0.023254773421460623,0.02290526759687014
35,0.02321937546418407,0.02318025522627523
36,0.022840701406739078,0.025182096733079664
37,0.022862636261373942,0.02431060623339775
38,0.02278326568590514,0.02360743887473547
39,0.022808480611669017,0.024563798144853887
40,0.022864574869941024,0.023774270240370075
41,0.022587096949641852,0.023989248623872916
