epoch,train_loss,validation_loss
1,0.029119295381187515,0.016405284879864125
2,0.015823430382285612,0.01611179676770732
3,0.016358709261642596,0.01597597579728218
4,0.014988928161269488,0.015883515516053076
5,0.014822926271914413,0.015503287745936626
6,0.014524224888937136,0.01607215005526508
7,0.01396956499232537,0.016512819050230842
8,0.013601469735467244,0.015937624673318603
9,0.013465153444067911,0.01862142828657575
10,0.012858652328959434,0.0163897141976201
11,0.01240715961469895,0.016230571224097757
12,0.012167331059414846,0.01797468400141899
13,0.01116665221114266,0.017632310869901077
14,0.011602938012091646,0.01830232486506735
15,0.010457892881664153,0.016944539293214895
16,0.01021208972325098,0.01727417426156825
17,0.009641171928634324,0.017707568199198314
18,0.009188779243094128,0.017456777612476247
19,0.008940047263387369,0.0179127863081901
20,0.009063215602921585,0.01847202998140584
21,0.008721731892009582,0.018323935592628043
22,0.00830363325286481,0.017981432845303114
23,0.008198455852083977,0.018564490282881086
24,0.007731402827231744,0.018463992346348105
25,0.007616324447191207,0.01831377321395321
