iteration,train_rmse,validation_rmse
0,0.1651141545996913,0.16235556165676343
1,0.16443991892420884,0.16184290734338433
2,0.16380571285628706,0.16141415408163862
3,0.16336193416018938,0.16118419067901046
4,0.16279592060189801,0.16079863843016956
5,0.1622546226836624,0.16049755062377302
6,0.16177251460064856,0.16019210170211326
7,0.16131155012783252,0.15990308418170313
8,0.1608709264253144,0.1596972222212801
9,0.16039375181561394,0.15946006705465288
10,0.15998727479240157,0.15932852075600734
11,0.15960954341306963,0.15916771134697189
12,0.15927646524656916,0.1588916157931646
13,0.15893497431850073,0.15875485800995157
14,0.1586386978211128,0.15870351540836883
15,0.158300416237153,0.15856123927526333
16,0.1580091575388259,0.15847530089220632
17,0.15769489681876644,0.15833847245833427
18,0.1574437357574083,0.15823395181338898
19,0.15716742710184317,0.15815530168760192
20,0.15687101891329067,0.15806931560789775
21,0.1565806307730887,0.1580293153599705
22,0.15631108018692377,0.1579037757718116
23,0.1561014083670037,0.15781610055617415
24,0.1558465733034885,0.15776668837524618
25,0.15564132262519464,0.15768575619372477
26,0.15539987156377716,0.15761755441947595
27,0.15513454428931733,0.15765284231854312
28,0.15493996396807128,0.15765681863590267
29,0.15470960174894768,0.1575878035252099
30,0.15451344242219156,0.1575202674277884
31,0.15428147638292436,0.15749310395408503
32,0.1540650960160231,0.15750982880471515
33,0.15387675808560178,0.15750756580519948
34,0.15368098971963953,0.15752174407967603
35,0.1534736903179809,0.15750471349216044
36,0.15328967798592413,0.15748872189093172
37,0.15308732960625102,0.15744434181542577
38,0.15292049531096613,0.15740968528210086
39,0.15275358558948107,0.15742912709794768
40,0.15256083793156663,0.15745391030533765
41,0.15237274850330304,0.15738283295906744
42,0.1521678632189443,0.15730195916719567
43,0.15198518512151746,0.1572585429069313
44,0.15179147647997648,0.15722631322859182
45,0.15162948441003463,0.15724154864545964
46,0.15146803498023842,0.15726139839221995
47,0.15127944760130063,0.1572610490508585
48,0.15111322495857318,0.15717171861854645
49,0.1509500236470636,0.15716798329361664
50,0.15079776491178587,0.15715247921720982
51,0.15062622291999608,0.1572341028824011
52,0.15046279165202173,0.15721980515043366
53,0.15029394181059527,0.15724056585787557
54,0.15013670128069714,0.1572683603804891
55,0.15001161392064694,0.15724822504523214
56,0.14987667693247483,0.157227089361759
57,0.14975138402416352,0.15719168988545723
58,0.1495810083492185,0.15715342968861326
59,0.14944741399444977,0.15717700672341395
60,0.14931234208875868,0.15713681992853964
61,0.14918003063614266,0.15715863773898264
62,0.14901170751538742,0.15719957238335486
63,0.14885489669151233,0.15719562427312103
64,0.14871554103568338,0.15717049600180796
65,0.14858061747454185,0.15719555058576926
66,0.1484542573813234,0.15716832037969378
67,0.14834630388671136,0.15714428768178704
68,0.148198520503747,0.1571359898662427
69,0.14804527571375042,0.15711089453181307
70,0.1479142424910475,0.15711771532676141
71,0.14776379466620818,0.15710872471569004
72,0.14764583935581768,0.15708879383171478
73,0.14751928481958343,0.15711177177430696
74,0.1473809726042579,0.15710287193849243
75,0.1472412913805482,0.157108383488445
76,0.14709180237603123,0.15707452587767687
77,0.14697086667455284,0.1570925683718738
78,0.14683111452325467,0.1570872737036938
79,0.14670245745936597,0.1571369777210064
80,0.14659219903830323,0.15713459519707745
81,0.14646941638007768,0.15717026473273565
82,0.14633606595043477,0.15716276141815516
83,0.14619593897280106,0.1571551644664953
84,0.14606820422222078,0.15714737253987995
85,0.14595077877521806,0.1571676751457395
86,0.1458030005269986,0.15720815501541305
87,0.14572135266779127,0.1571921068679453
88,0.14561464339790903,0.1571971772469294
89,0.14550390774412134,0.1572374483487433
90,0.14541510063759644,0.15724662097967787
91,0.14527641798486118,0.15724991900615165
92,0.14514049463421436,0.1572802237043062
93,0.14501242830159478,0.15729105840177302
94,0.14487415148415675,0.15726386334560719
95,0.14476056910822852,0.1572795780507925
96,0.14467048845045408,0.15726918861663217
97,0.14456046762166685,0.15728247123693595
98,0.14446130573999957,0.15728972119430942
99,0.14432152580518215,0.1572767104776942
100,0.14419915676097883,0.15725728821834825
101,0.1440762783093367,0.15725990525579547
102,0.1439169524899693,0.1572615410223595
103,0.1437886094227515,0.15727179440939784
104,0.14366633728736927,0.15727303569427567
105,0.1435431561485561,0.15726966588279925
106,0.14345450823929856,0.1572860596901032
