epoch,train_loss,validation_loss
1,0.03750301664569629,0.028229999304639073
2,0.029994218175944613,0.027825857470120032
3,0.02974407854828873,0.02938178645989557
4,0.028335881427010757,0.026243196897150024
5,0.02737235172458415,0.026052501926741262
6,0.0257604651735478,0.028616116392448192
7,0.0254407092487073,0.02651102500637685
8,0.024155769697980417,0.026398392024589337
9,0.023581587922862277,0.026068492653215026
10,0.023275583319747543,0.026863652332795886
11,0.022281136865805424,0.03276153849511165
12,0.02094376475281632,0.036726223460332615
13,0.020951912781057975,0.028201837834762777
14,0.01981081499283847,0.027219247829726363
15,0.018083849956966797,0.028598270870334522
16,0.01795266556109219,0.029081816006246514
17,0.016957546486406315,0.027978919889396568
18,0.015741730759025744,0.029317469669021958
19,0.015403981077060546,0.03155425921317161
20,0.014123993240437418,0.030624907839251314
21,0.013598902376915889,0.03833718325092098
22,0.013540319300123624,0.03890499688508942
23,0.0128542387285684,0.030662145926140423
24,0.012247879705780921,0.03342032620873977
25,0.012853570784519945,0.03221050124820762
