epoch,train_loss,validation_loss
1,0.013822516708468784,0.017532645193171176
2,0.012743807105502629,0.015519658867209862
3,0.012105578120800436,0.013258956994118703
4,0.011793781539805988,0.013539316927732666
5,0.011642040816217107,0.013040034332495315
6,0.010847227828652795,0.01364672553974093
7,0.011016059643797274,0.014003715096071507
8,0.010770606960273167,0.012930107901885004
9,0.010472869490903366,0.013091710613219973
10,0.010206969303937202,0.016979955960292715
11,0.010024315203268899,0.013002309990130436
12,0.009468001218644693,0.012768143422638104
13,0.009530470379630163,0.012952035030955
14,0.008887344815544604,0.013183503818976726
15,0.008650835120828704,0.012871873898916785
16,0.00874775836881345,0.013410986422102934
17,0.007961747369229671,0.013968224634215763
18,0.007306227520113351,0.01487651038046483
19,0.007981364490273321,0.013731824401825955
20,0.007521727488357612,0.01607587724367091
21,0.007123762242052465,0.014876621477365782
22,0.006525371932595742,0.016031396428536373
23,0.006043085149000287,0.015448724150274344
24,0.006790144246581785,0.014639108552570512
25,0.006461470729190053,0.017116845085306566
26,0.005725307856075573,0.0140435637942129
27,0.005895803902677663,0.015061036057746295
28,0.004861926002952245,0.015298427687508692
29,0.005281507423761604,0.015601382015865906
30,0.0050527910539766305,0.016605383042737218
31,0.0052169240089434635,0.014892397589167022
32,0.004912690578716956,0.016287634790039522
