epoch,train_loss,validation_loss
1,0.0216744760358377,0.014420930008254661
2,0.015968146105102204,0.015051052714378097
3,0.015109245509606649,0.014464944303888855
4,0.014762348028883189,0.014447191189121427
5,0.014847954763800493,0.015660517398651888
6,0.013960382909422812,0.015110781147564185
7,0.013908354679561221,0.014753100540460522
8,0.01308839834949174,0.015155763133564069
9,0.012460051760899513,0.015422929357026369
10,0.011852325642964318,0.01542846588915541
11,0.011753293280124198,0.015673007789060816
12,0.011435832474295313,0.015375302959489459
13,0.010761175885251873,0.015586779152846519
14,0.010608531310069037,0.016645900900511226
15,0.009922920595347029,0.015807894920176677
16,0.00957906638599464,0.016199695202344246
17,0.0091739020189499,0.016635525510966323
18,0.00923938103098576,0.016364670372816897
19,0.008463966690098336,0.016830613761287153
20,0.008173950625362946,0.016380585287164413
21,0.007812415150910946,0.017583724095678058
